EDR147923,((:vela))
EDR167583,((:palma))
EDR175795,((:caput hominis))
EDR149044,((:phallus))
EDR149061,((:phallus ad sin versus))
EDR149190,((:palmae ramus))
EDR149190,((:palm branch))
EDR180212,((:phallus))
EDR147717,((:nomen NEPTVNUS in forma navis scriptum))
EDR149064,((:phallus ad sin versus))
EDR149159,((:caput hominis))
EDR149159,((:phallus directus versus os capitis illius))
EDR148880,((:navis cum malo veloque))
EDR148022,((:verba Surrentinas scripta in forma duae navium))
EDR148022,((:caput hominis))
EDR167672,((:caput hominis ad sin))
EDR161789,((:figura hominis))
EDR173485,((:navis))
EDR147916,((:nomen RESTITVTVS in forma navis scriptum))
EDR128645,((:circulus circulum continens tracti cum circino))
EDR168484,((:animal))
EDR168484,((:tria hominum capita))
EDR168484,((:cervus))
EDR167662,((:caput viri barbati ad sin))
EDR175508,((:gladiator fugiens))
EDR175508,((:gladiator qui alterum illum persequitur))
EDR145438,((:phalli figura))
EDR163402,((:corona))
EDR163402,((:palma))
EDR150010,((:phallus))
