EDR159775,ABCDEFGH++[---] ABC[---]
EDR153613,Iulaiam (:Iuliam?) ad dom
EDR152962,Ἄρτος ((signum incertum)) MME
EDR140165,AM Surus Ianua vale
EDR140187,Quintus V--- R---
EDR140197,ROM <:vacat> R
EDR140205,Prigenio (:Primigenio?) s(alutem)
EDR140181,Severus
EDR140184,<:ad perpendiculum> Iuvari
EDR140034,Stirisc[us - - -] [- - - M]oschus Noeto
EDR154567,Quatuor (:quattuor) cer[---]
EDR151948,Remmius Rufus
EDR157040,Hymnus
EDR154186,Apelles Mus cum fratre Dextro amabiliter futuimus bis bina (:binas)
EDR152929,Hilarus
EDR140152,Hyacinthus hic fuit Verginiam suam
EDR140669,Rufula pondo V semis
EDR140233,Vale Procamu (:Procame)
EDR140709,[---]bius
EDR154572,Iustus cinaedu[- - -]
EDR140149,Algemus
EDR140221,vol cum Marcello bona[---]
EDR151896,Fatuus
EDR142438,Quintus [-] LA
EDR156982,Paris
EDR157025,Aulus Memmius
EDR151801,Mus
EDR151872,Quintus ++++++++
EDR154179,Duo sodales hic fuerunt et cum diu malum ministrum in omnia haberent nomine Epaphroditum vix tarde eum foras exigerunt (:exegerunt) Consumpserunt persuavissime cum fu`tu´ere ((sestertii)) CVS
EDR151417,Nicanor ovas
EDR140151,Aulus Tatius [- - -]prius
EDR140147,[---]AS[---] conclave Puteolis C[-]ANA [---]VLII consitont (:consistunt) Herculaneses (:Herculanenses) navculae (:naviculae)
EDR154046,[---]at veniat
EDR140054,feliter (:feliciter) ((:FELICITER in forma navis scriptum))
EDR154429,Urbane vale
EDR140232,suis P ave viban (:vivant)
EDR153111,Fuibus (:Phoebus) egrotes (:aegrotes)
EDR140986,<:columna I> Urso  <:columna II> Urso
EDR151802,MMMMus
EDR154568,Extan[+1+] pisu [- - -]QVATVS ne quinque
EDR140138,Burrus <:vacat> pedad (:petat) H
EDR140144,Masueta (:Mansueta) tene ((:phallus))
EDR140137,MOEƆCIA CC
EDR153487,Venimus venimus hoc cupidi multo magis ire cupimus
EDR140231,Augu
EDR140258,Mus nequam
EDR154177,Nuc (:nuces?) <:vacat> biber(es) XIIII (assibus) Singa (:singula) III  Panem III <:vacat> LI (assibus) Orrellas (:ofellas) III <:vacat> XII (assibus) Thymatla (:thymatula) IIII <:vacat> VIII (assibus)
EDR154368,Fusci Cilix Cilix
EDR140220,Alica
EDR140050,Bucolus
EDR154570,Quant
EDR151800,S nequam
EDR153483,VS SVMM
EDR151835,Est res INCOSID
EDR153853,Ursi me comedant
EDR156999,Hic situs Suellius
EDR154043,Septembr(es) III idus pro tunica ((denarius)) I a(sses) VIII
EDR140177,Assis IIIIHIINII CCCXXX
EDR154538,Feliciter Proculo
EDR140124,Quis d
EDR154042,Nonis Iulis MVS[---]N M[---]N[---] VIII[ Idus Iul]ias nata CV Prid[ie Nonas?] Non[is? H]erclan (:Herculaneo?)  Nol(ae?)  Pomp[---]ans <:vacat> CN I III
EDR153849,Ursi me comedant
EDR142440,<:textus non legitur>
EDR140166,Cum quidam pauper ligas VI[- - -] NQ
EDR129306,Lollian(us) Euodus(:Euhodus) Priscus Musicus 5 Atimetus [Am?]pelus [---]ccus Glaucus Communis
EDR153740,Amethyste vale
EDR151873,[- - -] socio F[---] [- - -]AL
EDR151867,Vinum acceptum ab domino VII Idus Apriles
EDR159777,Vinum a(sses) III Quatusui++I VIII Nig[---] ((denarius)) V s(emis) Capitoni Nigro ((denarius)) V Nig[---]
EDR140195,XI Kalendas pane factum III Nonas pane factum 〚III〛
EDR142442,CELE <:textus non legitur>
EDR154434,Longinus IV Idu[s Iu]lias Iualias (:Iulias) accepit vim hila(re?) Sturnus am(ator?)
EDR154044,Asas numero LXI · Anaticulas · numero · CXXVI
EDR154431,Modesti
EDR140190,((:gladiatores inter se dimicantes)) Euhodus et Satura  Puteolani
EDR140143,Amata
EDR153741,Chie IMN
EDR153800,S IIIII
EDR154371,Salarius glabe (:glaber) RVSIVNNAE Lavinia (:Laviniam) futui
EDR140211,Charca miam (:meam?) Sira (:Syra?)
