EDR129306,Lollianus,lollianus,lollianus,N2/1,47831,*,Af-,Lollian(us) Euodus(:Euhodus)</span> Priscus Musicus 5 Atimetus [Am?]p&#803;e&#803;lus [---]c&#803;c&#803;us G&#818;l&#818;aucus C&#818;o&#818;mmuni&#818;s&#818;,ACCEPT,,,,
EDR154434,Longinus,longinus,longinus,N2,47877,m,NpB,Longinus IV Idu[s Iu]lias Iualias (:Iulias) accepit vim hila(re?) Sturnus am(ator?),ACCEPT,,,,
EDR140221,Marcello,marcello,marcellus,N2/1,49973,*,Af-,vol cum Marcello bona[---],ACCEPT,,,,
EDR140188,Martias,martias,martius,N2/1,50251,*,Af-,VIII K(alendas) Martias Numisii Genialis gladiatorum paria X Herculani,OVERRIDE,date,,,
EDR081345,Messenius,messenius,messenius,N2/1,51705,*,Af-,C(aius) Messenius Eunomus im(:in) curia,ACCEPT,,,,
EDR081345,Messenius,messenius,messenius,N2/1,51705,*,Af-,C(aius) Messenius Eunomus im(:in) curia,DECLINE,,,,
EDR140034,Moschus,moschus,moschus,N2,53125,m,NpB,Stirisc[us? - - -] [- - - M]oschus Noeto,ACCEPT,,,,
EDR151417,Nicanor,nicanor,nicanor,N3B,55013,m,NpC,N&#803;icanor ovas&#818;,ACCEPT,,,,
EDR140188,Numisii,numisii,numisius,N2/1,55830,*,Af-,VIII K(alendas) Martias Numisii Genialis gladiatorum paria X Herculani,ACCEPT,,,,
EDR153111,Phoebus,phoebus,phoebus,N2,63188,m,NpB,Fuibus (:Phoebus) egrotes (:aegrotes),ACCEPT,,,,
EDR151877,Pompeiano,pompeiano,pompeianus,N2/1,64624,*,Af-,Spedio Antymo [- - -] [redi?]bis e Pompeian[o] a Colono sa&#803;(lutem?)Ê est augusta&#818;l&#818;[is],OVERRIDE,adjective,,,
EDR140255,Porcius,porcius,porcius,N2/1,64802,*,Af-,Se(xtus) Porcius s s,ACCEPT,,,,
EDR140255,Porcius,porcius,porcius,N2/1,64802,*,Af-,Se(xtus) Porcius s s,DECLINE,,,,
EDR081348,Publi,publi,publius,N2/1,67859,*,Af-,Arrius P(ubli) f(ilius),ACCEPT,,,,
EDR081347,Publius,publius,publius,N2/1,67859,*,Af-,P(ublius) Arriu_s Spaerus,ACCEPT,,,,
EDR081347,Publius,publius,publius,N2/1,67859,*,Af-,P(ublius) Arriu_s Spaerus,DECLINE,,,,
EDR140204,Publius,publius,publius,N2/1,67859,*,Af-,IIII P(ublius) Quin(tilius?),DECLINE,,,,
EDR140204,Publius,publius,publius,N2/1,67859,*,Af-,IIII P(ublius) Quin(tilius?),DECLINE,,,,
EDR140234,Publius,publius,publius,N2/1,67859,*,Af-,P(ublius) Septumius,DECLINE,,,,
EDR140234,Publius,publius,publius,N2/1,67859,*,Af-,P(ublius) Septumius,DECLINE,,,,
EDR151822,Puteolis,puteolis,puteoli,N2,68258,m,NpB,Vasileus habitat Putelis (:Puteolis) in castris August[i - - -] su(b) Valeri[o - - -],ACCEPT,,,,
EDR140147,Puteolis,puteolis,puteoli,N2,68258,m,NpB,[---]A&#818;S&#818;[---] conclave Puteolis C&#803;[-]AN&#803;A&#803; [---]V&#818;LII consitont (:consistunt) Herculaneses (:Herculanenses) navculae (:naviculae),DECLINE,,,,
EDR102191,Puteolos,puteolos,puteoli,N2,68258,m,NpB,Hermeros Pr“migeniae dominae: ven“ Puteolos in v“co Tyaniano et quaere a Messio numulario(:nummulario) Hermerotem Phoeb“,ACCEPT,,,,
EDR151948,Remmius,remmius,remmius,N2/1,70294,*,Af-,R&#7865;mmius Rufus,ACCEPT,,,,
EDR151948,Remmius,remmius,remmius,N2/1,70294,*,Af-,R&#7865;mmius Rufus,DECLINE,,,,
EDR156980,Sabina,sabina,sabini,N2/1,72188,*,Af-,Sabin(a) Sabina,OVERRIDE,name,Sabina,,
EDR140171,Saturninae,saturninae,saturnini,N2/1,73497,*,Af-,Saturnina[e] matr(i) uncus a(ssibus) IIIÊ,OVERRIDE,name,Saturnina,,
EDR151877,Spedio,spedio,spedius,N2/1,77660,*,Af-,Spedio Antymo [- - -] [redi?]bis e Pompeian[o] a Colono sa&#803;(lutem?)Ê est augusta&#818;l&#818;[is],ACCEPT,,,,
EDR159772,Stratonicus,stratonicus,stratonicus,N2,78712,m,NpB,&#12296;:columna I&#12297; C&#932;&#929;&#913;= &#932;&#927;&#925;&#921;= &#922;&#927;C (:&#931;&#964;&#961;&#945;&#964;&#972;&#957;&#953;&#954;&#959;&#962;)Ê &#12296;:columna II&#12297; Stra= tonicos (:Stratonicus) scrips(it),,,,,
EDR154190,Symphorus,symphorus,symphorus,N2,81712,m,NpB,Mortus (:Mortuus) Sumpo(rus) (:Symphorus),ACCEPT,,,,
EDR140151,Tatius,tatius,tatius,N2/1,82446,*,Af-,A(ulus) Tati(us?) [- - -]p&#818;r&#818;ius,ACCEPT,,,,
EDR140151,Tatius,tatius,tatius,N2/1,82446,*,Af-,A(ulus) Tati(us?) [- - -]p&#818;r&#818;ius,DECLINE,,,,
EDR154045,Tiberius,tiberius,tiberius,N2/1,84126,*,Af-,Ti(berius) Claud(ius),ACCEPT,,,,
EDR154045,Tiberius,tiberius,tiberius,N2/1,84126,*,Af-,Ti(berius) Claud(ius),DECLINE,,,,
EDR073355,Titi,titi,titus,N2,84434,m,NpB,Apollinaris medicus Ti&#768;ti&#768; Impe(ratoris) &#12296;:servus&#12297; hic cacavit bene,ACCEPT,,,,
EDR073355,Titi,titi,titus,N2,84435,m,NpB,Apollinaris medicus Ti&#768;ti&#768; Impe(ratoris) &#12296;:servus&#12297; hic cacavit bene,DECLINE,,,,
EDR073355,Titi,titi,titius,N2/1,84411,*,Af-,Apollinaris medicus Ti&#768;ti&#768; Impe(ratoris) &#12296;:servus&#12297; hic cacavit bene,DECLINE,,,,
EDR140039,tros,tros,tros,N3B,86089,m,NpC,&#12296;:columna I&#12297; Branc broc trans nusÊ &#12296;:columna II&#12297; Nos= terÊ trosÊ men Ê &#12296;:columna III&#12297; Quod quid quae quasÊ &#12296;:columna IV&#12297; Rum quisÊ que demÊ &#12296;:columna V&#12297; ConÊ les lisÊ mu&#7735;Ê &#12296;:columna VI&#12297; Mol ma me mae,IGNORE,,,,
EDR140061,Valentina,ualentina,ualentinum,N2,87804,n,NpB,[--- acce]pit Secundus Crusali ser(vus?) et Valentina ((:phallus)),OVERRIDE,name,Valentina,,
EDR140061,Valentina,ualentina,ualentini,N2/1,87803,*,Af-,[--- acce]pit Secundus Crusali ser(vus?) et Valentina ((:phallus)),DECLINE,,,,
EDR151822,Valerio,ualerio,ualerius,N2/1,87813,*,Af-,Vasileus habitat Putelis (:Puteolis) in castris August[i - - -] su(b) Valeri[o - - -],ACCEPT,,,,
EDR140983,Veneriam,ueneriam,ueneria,N1,88431,f,NpA,Fo&#818;rtunatus á amat á Ampl&#818;i&#818;a&#818;nda (:Ampliandam). Ianuarius á amat á Veneria (:Veneriam). Rogamus á damna (:domina) á Venus ut á nos á in á mente á h&#818;a&#818;bias (:habeas) quod te á modo á introrgamus (:interrogamus),ACCEPT,,,,
EDR140152,Verginiam,uerginiam,uerginius,N2/1,88670,*,Af-,Hyacinthus hic fu&#818;i&#818;t&#818; Verginiam s&#818;u&#818;a&#818;m&#818;,OVERRIDE,name,Verginia,,
EDR140140,Vettius,uettius,uettius,N2/1,89132,*,Af-,Q&#803;(uintus) Vet&#803;ius&#803; (:Vettius),ACCEPT,,,,
EDR140140,Vettius,uettius,uettius,N2/1,89132,*,Af-,Q&#803;(uintus) Vet&#803;ius&#803; (:Vettius),DECLINE,,,,
EDR154539,Vinicius,uinicius,uinicius,N2,89621,m,NpB,Vin(icius?) Florus Paris C(aius) Messenius,OVERRIDE,name,Vin(icius?),,
EDR154433,Vitalio,uitalio,uitalio,N3B,89928,m,NpC,Vitalio p&#818;e&#818;dica ut comatus&#818; Urosacula&#818; Suu&#818;r&#818;us (:Syrus?) Fo&#818;l&#818;i&#818;a&#818;t&#818;u&#818;s&#818;,ACCEPT,,,,
