ID number,Smyrna #,p. #,,City,,,,,Drawing Category,Caption for Graffito,Latin Description of Figural Graffito,English Description of Figural Graffito,Writing Style
SMYT00157,T15.7,188,,Smyrna,,,,,,,,,Carbone
SMYT00158,T15.8,189,,Smyrna ,,,,,,,,,Carbone
SMYT00159,T15.9,190,,Smyrna ,,,,,,Signature,,,Carbone
SMYT01510,T15.10,191,,Smyrna,,,,,,,,,Carbone
SMYD00151,D15.1,192,,Smyrna,,,,,Boats,Drawing of a boat,((:navis)),((:boat)),Carbone
SMYD00152,D15.2,193,,Smyrna ,,,,,Boats,Drawing of a boat,((:navis)),((:boat)),Carbone
SMYD00153,D15.3,194,,Smyrna,,,,,Boats,Drawing of a boat,((:navis)),((:boat)),Carbone
SMYD00154,D15.4,195,,Smyrna,,,,,Boats,Drawing of a boat,((:navis)),((:boat)),Carbone
SMYD00155,D15.5,196,,Smyrna ,,,,,Gladiators,Drawing of a gladiator,"((:gladiator, secutor))","((:gladiator, secutor))",Carbone
SMYD00156,D15.6,197,,Smyrna ,,,,,Gladiators,Drawing of a gladiator,"((:gladiator, provocator))","((:gladiator, provocator))",Carbone
SMYT00161,T16.1,200,,Smyrna,,,,,,,,,Carbone
SMYT00162,T16.2,201,,Smyrna,,,,,,,,,Carbone
SMYD00161,D16.1,202,,Smyrna ,,,,,Erotic Images,Drawing of a phallus,((:phallus)),((:phallus)),Carbone
SMYD00171,D17.1,204,,Smyrna,,,,,Boats,Drawing of a boat,((:navis)),((:boat)),Carbone
SMYD00172,D17.2,205,,Smyrna,,,,,Boats ,Drawing of a boat,((:navis)),((:boat)),Carbone
SMYD00181,D18.1,206,,Smyrna ,,,,,Geometric designs,Drawing of a geometric pattern,((:lineae interscissae)),((:intersecting lines)),Litt. Scariph. 
SMYD00191,D19.1,208,,Smyrna ,,,,,Boats ,Drawing of a boat,((:navis)),((:boat)),Carbone
SMYD00192,D19.2,209,,Smyrna,,,,,Human figures ,Drawing of a face,((:figura viri)),((:figure of man)),Pictura
SMYD00193,D19.3,211,,Smyrna,,,,,Other,Thymiaterion,((:thymiaterion)),((:incense burner)),Pictura
SMYT00201,T20.1,213,,Smyrna,,,,,,,,,Carbone
SMYT00202,T20.2,214,,Smyrna,,,,,,,,,Carbone
SMYT00203,T20.3,216,,Smyrna,,,,,,,,,Carbone
SMYT00204,T20.4,218,,Smyrna,,,,,,,,,Carbone
SMYD00201,D20.1,219,,Smyrna,,,,,Human figures,Drawing of faces,((:duo capita hominum)),((:two heads of people)),Carbone
