term,lemma
hyacinthus,Hyacinthus
hyginus,Hyginus
hymnus,hymnus
hʾys¹,hʾys¹
ì,ì
ia,ia
iaculo,"iaculus, iacula, iaculum"
ianua,ianua
ianuaria,Ianuaria
ianuariae,Ianuariae
ianuarìae,ianuarìae
ianuariaes,ianuariaes
ianuarias,ianuarius
iar,iar
iarinus,iarinus
ias,ias
ìas,ìas
icarus,icarus
icare,icarus
icui,icui
idus,idus
idibus,idus
ignem,"ignis, ignis"
i̅i̅i̅i̅,i̅i̅i̅i̅
ikarus,ikarus
ilia,ilia
imagine,"imago, imaginis"
im(:in),im(:in)
imperatoris,"imperator, imperatoris"
in,in
ìn,ìn
inaures,inauro
incedens,"incedo, incedere"
incendia,"incendium, incendii"
incendunt,"incendo, incendere"
incertum,"incertus, incerta, incertum"
Term,Indexing Key
induta,"induo, induere"
indutus,"induo, induere"
induti,"induo, induere"
infelicia,infelicia
infrenatus,"infrenatus, infrenata, infrenatum"
ingentia,ingens
innectebis,innectebis
inops,"inops, inoiis"
instrumentum,"instrumentum, instrumenti"
instructa,"instruo, instruere"
instructae,"instruo, instruere"
inter,inter
interrogamus,"interrogo, interrogare"
interscissae,interscissae
intersecta,intersecta
intersectae,intersectae
ìnvicta,ìnuicta
ionicus,ionicus
ipsa,"ipse, ipsis, ipsis"
ipsime,ipsime
irrius,irrius
irrumo,irrumo
ea,is
eos,is
eo,is
eum,is
issa,issa
istuc,"iste, istis, istis"
ita,ita
iterum,iterum
iucundus,iucundus
iucundissime,"iucundus, iucunda, iucundum"
iudices,iudex
iuliam,iulia
iulias,iulias
iulis,iulis
iulium,iulius
iuli,iulius
iulius,iulius
iuni,iuni
iunius,Iunius
iures,"iuro, iurare"
ius,ius
iustus,iustus
iusto,"iustus, iusta, iustum"
iutto,iutto
iuvari,iuvaris
iuvenalium,"iuvenalis, iuvenaliis"
k,k
k(?),k(?)
kalendas,kalendae
kalends,kalends
kz,kz
l,l
labrum,"labrum, labri"
labyrinthus,labyrinthus
lacaenae,lacaenae
lacrumae,"lacrima, lacrimae"
lagoenas,lagoenas
lali,lal
lalius,Lalius
lanternae,lanterna
laqueo,"laqueus, laquea, laqueum"
lardi,lardi
largificatis,largificatis
lasius,lasius
laviniam,Laviniam
legionis,"legio, legionis"
lentulo,lentulus
"leo, leonis","leo,"
leo,"leo, leonis"
leon,"leo, leonis"
(leonis?),(leonis?)
leontine,leontine
lepidi,"lepidus, lepida, lepidum"
les,les
leges,"lex, legis"
liberalis,"liberalis, liberaliis"
liberti,"libertus, liberti"
liberta,"libertus, liberti"
librari,"libro, librare"
liceat,licet
licinius,licinius
licintus,licintus
ligaria,ligaria
ligas,"ligo, ligare"
lineae,"linea, lineae"
lineis,"linea, lineae"
