term_id,term
1327,tum
1329,condo
1330,utor
1331,liceo
1332,noctus
1334,divam
1336,conglacio
1338,aestost
1340,tertianus
1341,habitarunt
1343,uerpus
1346,caniu
1349,quinque
1354,pedicus
1355,como
1356,urosacula
1358,foliatus
1360,αβγ
1365,erectus
1366,ιζ
1367,θh
1368,κζ
1369,ʾnʿm
1370,kz
1372,homulo
1373,mystagogus
1374,μυσταγωγός
1375,etoen
1377,sautrane
1379,scyphus
1380,ευyroiviλc
1384,umerus
1387,scribo
1389,ὁ
1390,κυνικὸς
1391,φιλόσοφος
1392,ἰδὼν
1393,γυναῖκα
1394,ὑπὸ
1395,ποταμοῦ
1396,φερομένην
1397,εἶπεν·
1398,ἄφες
1399,φέρεσσθαι<span
1400,φέρεσθαι
1401,τὸ
1402,κακ⌜ὸ⌝ν
1403,κα`κοῦ´
1404,κιυς
1406,pedo
1407,quicumque
1408,cassacos
1409,saluia
1410,superbus
1411,burrus
1412,peto
1413,vcq
1416,luxum
1417,sittius
1418,ceio
1419,pupa
1421,quouis
1427,scite
1428,ordo
1429,viλianio
1432,sarnensis
1436,unguentarius
1437,fellatrix
1438,mysine
1440,etsi
1441,qua
1442,miser
1443,acastus
1444,persi
1445,elencia
1446,pittacius
1447,sequor
1448,volumnius
1449,pomponi
1450,aphrodite
1451,neptunalis
1452,clappo
1453,subflauus
1454,mansit
1457,nonio
1458,felicioni
1459,cerialis
1461,δ
1463,roto
1464,opera
1465,teneo
1466,arepo
1467,sato
1470,atilo
1471,casellio
1472,infelix
1474,montanus
1475,av
1477,messìo
1478,atauus
1480,caduceum
1482,asella
1483,contìquere
1484,conticisco
1486,morior
1487,rusticus
1488,condisco
1489,dolo
1490,africano
1492,maia
1493,pereo
1494,caupo
1495,pvnico
1496,cuius
1497,uirus
1498,bonum
1499,orum
1500,facio
1501,lepis
1502,arma
1503,adsuetus
1504,umeo
1505,debitum
1506,confirmo
1507,prosper
1508,uotum
1510,syntrophus
1511,augeo
1512,ìas
1513,sabidia
1514,abonius
1517,pitamnus
1518,marcili
1519,uictrix
1521,uicinus
1522,incendium
1523,participo
1524,facia]m
1525,trado
1526,corydon
1529,mulier
1530,siccia
1533,centuria
1534,solus
1535,amare
1537,nescio
1538,phryges
1539,exto
1540,apex
1541,dexter
1544,irrius
1548,pompeianis
1550,virilio
1551,branc
1552,broc
1553,trans
1554,nus
1555,noster
1556,tros
1557,men
1558,quae
1559,quas
1560,rumis
1561,que
1562,con
1563,bolus
1564,mul
1566,molitor
1567,ma
1568,mae
1569,charca
1570,syron
1571,serum
1572,ammonium
1573,vetio
1574,lucius
1575,plotium
1576,alleius
1577,astragalus
1578,nona
1579,usque
1580,eidus
1581,agrippa
1582,tito
1583,statilio
1585,helenium
1586,turma
1587,siculus
1588,hermia
1591,Caius
1592,Iunius
1594,proiecticius
1595,tractatus
1596,propesi
1597,contus
1598,istuc
1599,lego
1600,fidenter
1601,scripto
1603,uelum
1605,longoque
1608,samnes
1609,galeos
1610,breuis
1612,uenator
1613,alia
1615,herculis
1619,ornatus
1622,prora
1623,aplustre
1627,paeonia
1631,ocrea
1633,ἥσυχος
1637,ciconia
1639,medusae
1643,diuerto
1644,imago
1647,induo
1648,palliolum
1653,altero
1654,paruus
1656,fortasse
1657,minus
1658,supra
1659,remmius
1661,uersum
1662,armatus
1664,tridens
1665,mmmmus
1666,senatus
1667,consulo
1668,mando
1672,conclaue
1674,consisto
1675,herculanenses
1676,nauicula
1677,quaesivi
1678,facia
1682,seruo
1683,ius
1684,lumen
1685,saluos
1687,vibidi
1688,cerealis
1689,cumis
1690,uecto
1691,quo
1692,hectic
1694,uiuo
1697,aequatus
1699,partiarius
1700,ornamentae
1701,scalae
1702,aquarium
1703,dua
1704,basis
1705,manus
1706,hamo
1707,duas
1709,urceolus
1710,duos
1711,candelabrum
1712,lucubratorius
1713,unus
1714,lucerna
1715,aeneus
1716,hamula
1717,peluis
1718,luter
1719,gutos
1720,scapheola
1721,ferrea
1722,strigilis
1723,haenas
1724,marmoro
1726,fuminaria
1727,satisfacio
1729,extergo
1730,d
1731,πρόκλα
1732,ω
1736,tomus
1738,crusali
1739,seruos
1744,delicia
1746,tango
1747,possem
1749,aqua
1750,ἄρτος
1751,((signum incertum))
1752,augusto
1753,aprilis
1754,atinas
1755,quartu
1756,moderatus
1757,se
1758,tuto
1759,minimum
1760,fio
1761,contemno
1762,maximus
1764,trama
1765,stamen
1768,lusor
1770,nata
1773,nolae
1775,maior
1776,duo
1777,diu
1778,minister
1779,nomine
1781,vix
1782,tarde
1783,eum
1784,foro
1785,exigo
1786,consum
1787,persuavissime
1788,fu`tu´ere
1789,((sestertii))
1791,acutus
1792,nasone
1793,gryllus
1794,frater
1795,bis
1796,salarius
1797,glaber
1798,rusiunnae
1801,ater
1802,ludi
1803,max
1806,αβγδεζηθικλμνξοπρστυφχψω
1808,sex
1809,quor
1810,simplex
1811,duplico
1813,femina
1814,cornu
1815,unguis
1816,dens
1817,alius
1818,falx
1819,aut
1820,propero
1821,sava
1822,amanter
1824,uerno
1825,conticuum
1826,siqua
1828,habito
1829,rufus
1830,quare
1832,ceacli
1833,valer
1834,secun
1835,amon
1836,scava
1837,hispanus
1838,iutto
1840,dasius
1841,methe
1842,cominiaes
1843,atellanus
1844,chreston
1845,cordus
1846,utreis
1847,utrisque
1848,pompeiana
1849,propitio
1850,concordis
1851,novembres
1852,praebeo
1853,petilus
1854,ornamentum
1855,silo
1856,honorificus
1857,causo
1858,libertus
1859,epaphroditus
1861,cur
1862,nasso
1863,fadius
1865,abellanus
1867,geryones
1868,trimembris
1869,senex
1870,comperendino
1873,apsyrtus
1874,valentinae
1875,nothus
1877,nomino
1878,Faustus
1879,nothus
1880,scribo
1881,bis
1883,medicatus
1884,tìtì
1885,imperator
1886,martias
1887,numisii
1888,pario
1889,herculani
1890,amplio
1891,veneriam
1892,nos
1893,mens
1894,modo
1895,interrogo
1896,vasileus
1897,castrum
1899,sub
1904,crux
1905,orbiculus
1906,extremus
1907,bracchium
1913,delineo
1914,nasum
1915,labrum
1916,livius
1918,bruttidi
1919,sto
1922,artus
1923,anterior
1924,anchario
1925,linum
1926,anus
1927,uita
1928,memini
1929,aquiti
1930,mors
1931,taeduisti
1935,uestimentum
1936,togatus
1938,cornutus
1940,anser
1941,chl
1942,oe
1943,va
1944,aristo
1945,tonsorium
1946,nonne
1947,inops
1949,procurator
1950,ualens
1951,musa
1954,luccei
1956,decimus
1957,thraso
1958,sacenio
1960,trifolio
1961,cai
1962,flauus
1963,librarium
1964,domus
1965,lolli
1966,ager
1967,emptus
1968,ligaria
1969,dii
1970,roma
1972,traho
1973,cerrinus
1974,caecilius
1975,vesuvius
1976,lucianus
1980,ciλ
1982,suauis
1983,ἄπαις
1985,uxor
1986,opto
1988,mandatus
1989,munus
1991,voltini
