EDR entry,CIL#,"a, b, etc.",Langner,City,Regio,Insula # or OutsideWalls or WithinWalls,Main Entrance,Property Name - English,Drawing Category,Caption for Graffito,Latin Description of Figural Graffito,English Description of Figural Graffito,,
EDR168237,8772 (nota),,,Pompeii,II,7,1,Campus ad amph.,Erotic images,Drawing,((:phallus)),Drawing of a phallus,,
EDR167583,9281,b,,Pompeii,II,7,1,Campus ad amph.,Plants,Drawing of a palm branch,((:palma)),Drawing of a palm branch,,
EDR127815,8617,,,Pompeii,II,7,1,"Campus ad amphitheatrum, col. XXXV, stria 17",Erotic images,Drawing,((:phallus)),Drawing of a phallus,,
EDR128294,8599 (nota),,,Pompeii,II,7,1,Campus ad amph.,Animals,Drawing of two birds,((:aves oppositae)),Drawing of two birds facing each other,,
EDR167311,8524 (nota),,1820,Pompeii,II,7,1,Campus ad amph.,Animals,Drawing of an animal,((:animal ad sin.)),Animal facing left,,
EDR127849,8528,,870,Pompeii,II,7,1,"Campus ad amphitheatrum, col. IV, stria 17",Gladiators,Drawing of gladiator equipment,"((:instrumentum gladiatorum, galea)) suu(m) sumit Alunti(us?) cu(m?) ((:instrumentum gladiatorum, thorax))","Gladiator helmet, (text written in between), gladiator body armor",,corrected after fieldwork corrections
EDR167410,8529 (nota),,985,Pompeii,II,7,1,Campus ad amph.,Gladiators,Drawing of a gladiator helmet,((:galea gladiatoria ad sin.)),Gladiator helmet facing left,,
EDR167615,8527 (nota),,,Pompeii,II,7,1,Campus ad amph.,Animals ,Drawings of two birds,((:avis ad d.)) .  ((:avis ad sin.)),Bird facing right and (7.5 cm below) bird facing left,,corrected after fieldwork corrections
EDR128757,8544,,698,Pompeii,II,7,1,"Campus ad amphitheatrum, col. XII, striae 16-17",Human figures,Drawing of a person,((:figura hominis ad sin.)),Human figure facing left,,
EDR167411,8544 (nota),,1471,Pompeii,II,7,1,Campus ad amph.,Animals,Drawing of an animal,((:quadrupes ad d. erectus)),"Rearing four-legged animal, facing right",,
EDR167412,8544 (nota),,1492,Pompeii,II,7,1,Campus ad amph.,Animals,Drawing of a bull,((:taurus ad d.)),Bull facing right ,,
EDR167413,8544 (nota) ,,1995,Pompeii,II,7,1,Campus ad amph.,Boats ,Drawing of a boat,((:navis velis et rudentibus et gubernaculo instructa)),"Boat outfitted with sails, ropes, and rudder",,
EDR167414,,,571,Pompeii,II,7,1,Campus ad amph.,Human figures,Drawing of a face,((:caput hominis ad sin.)),Head of a person facing left,,
EDR167439,8555 (nota),,722,Pompeii,II,7,1,Campus ad amph.,Human figures,Drawing of a face,((:caput hominis ad sin.)),Head of a person facing right,,
EDR167440,8555 (nota),,723,Pompeii,II,7,1,Campus ad amph.,Human figures ,Drawing of a face,((:caput hominis ad d.)) ,Head of a person facing right,,
EDR167441,8555 (nota),,724,Pompeii,II,7,1,Campus ad amph.,Human figures,Drawing of a face,((:caput hominis ad sin.)),Head of a person facing left,,
"
EDR127429",8557 (nota),,203,Pompeii,II,7,1,"Campus ad amphitheatrum, col. XVI, stria 15",Human figures,Drawing of a face,((:caput hominis)),Head of a person,,
EDR167445,8559 (nota),,871,Pompeii,II,7,1,Campus ad amph.,Gladiators,Drawing of a gladiator,((:gladiator)),Gladiator,,
EDR167446,8561 (nota),b,778,Pompeii,II,7,1,Campus ad amph.,Gladiators,Drawing of a gladiator,"((:gladiator ad d. galea, scuto, subligaculo, ocreis armatus)) ","Gladiator facing right, armed with helmet, shield, loincloth, and greaves",,
EDR167447,8561 (nota),,,Pompeii,II,7,1,Campus ad amph.,Animals,Drawing of two birds,((:duae aves ad sin.)) ,Two birds facing left,,
EDR167451,8562 (nota),,572,Pompeii,II,7,1,Campus ad amph.,Human figures,Drawing of a face,((:herma prospiciens)),Bust facing forward,,
EDR167453,8562 (nota),,573,Pompeii,II,7,1,Campus ad amph.,Human figures,Drawing of a face,((:caput hominis prospiciens)),Head of a person facing forward,,
EDR128738,8569,,956,Pompeii,II,7,1,"Campus ad amphitheatrum, col. XVIII, stria 16",Other,Drawing of a trophy? and writing,((:trophaeum?)) Atillius Nas IL[-],Trophy?,,
EDR168101,9281 (nota) ,,276,Pompeii,II,7,1,Campus ad amph.,Human figures,Partial drawing of a face,"((:facies partim delineata, nasum et labrum))","Partially drawn face, nose and lip",,
EDR167471,8573 (nota),,873,Pompeii,II,7,1,Campus ad amph.,Gladiators,Drawing of a gladiator,((:gladiator prospiciens sica et scuto armatus)),Gladiator armed with a shield and sword,,
EDR167472,8573 (nota) ,,1760,Pompeii,II,7,1,Campus ad amph.,Animals,Drawing of a bird on a branch,((:avis externa in arboris ramo stans)),Bird (partridge?) standing on a tree branch ,,
EDR167661,8576 (nota),,770,Pompeii,II,7,1,Campus ad amph.,Gladiators,Drawing of a gladiator,"((:gladiator galea cristata, scuto sicaque armatus et fasciis subligaculo ocreisque indutus))","Gladiator armed with crested helmet, shield, and sword, and wearing leg-padding, loincloth, and greaves",,
EDR167476,8587 (nota),,769,Pompeii,II,7,1,Campus ad amph.,Gladiators ,Drawing of a gladiator,((:gladiator ad d. armatus)) ,Armed gladiator facing right,,
EDR167478,p. 899 s.n.,,454,Pompeii,II,7,1,Campus ad amph.,Human figures,Drawing of a face,((:herma ad sin.)),Bust facing left,,
EDR167479,p. 899 s.n.,,502,Pompeii,II,7,1,Campus ad amph.,Human figures,Drawing of a face,((:herma ad sin)),Bust facing left ,,
EDR167481,p. 899 s.n.,,,Pompeii,II,7,1,Campus ad amph.,Animals,Drawing of two birds,"
((:duae aves oppositae, ciconiae?))",Two birds facing each other (storks?),,
EDR167477,p. 899 s.n.,,455,Pompeii,II,7,1,Campus ad amph.,Human figures,Drawing of a face,((:caput hominis ad sin.)),Head of a person facing left,,
