EDR128774,,col. XV,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR128775,,col. XV,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR127415,,col. XV,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR127406,,col. XVI,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR128776,,col. XVI,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR167439,,col. XVI,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR167440,,col. XVI,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR167441,,col. XVI,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR128777,,col. XVI,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR127429,,col. XVI,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR167567,,col. XVI,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR167568,,col. XVI,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR127421,,col. XVII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR128778,,col. XVII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR167445,,col. XVII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR128779,,col. XVII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR167574,,col. XVIII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR128290,,col. XVIII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR167446,,col. XVIII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR167447,,col. XVIII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR127405,,col. XVIII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR167451,,col. XVIII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR167453,,col. XVIII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR127191,,col. XVIII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR127829,,col. XVIII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR127830,,col. XVIII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR127831,,col. XVIII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR128660,,col. XVIII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR128661,,col. XVIII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR128733,,col. XVIII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR127828,,col. XVIII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR128734,,col. XVIII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR128662,,col. XVIII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR127081,,col. XVIII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR128738,,col. XVIII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR128663,,col. XVIII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR167581,,col. XVIII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR167583,,col. XVIII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR168101,,col. XVIII,"H. Sypniewski, H. Busby, C. Hartline, B. Wright, M. Yorio"
EDR128017,,col. XIX ,"E. Zimmermann Damer, C. Creamer, M. Holcomb, M. P. Lewis, J. Rach"
EDR128016,,col. XIX ,"E. Zimmermann Damer, C. Creamer, M. Holcomb, M. P. Lewis, J. Rach"
