EDR#,CIL#,"a, b, c, d or Varone #",Langner #,Insula,Text of Inscription,Caption for graffito,Translation,,AGP = Update of CIL?,Contributors,,Commentary 
EDR154421,10673,,,Clivus,VII a(sses) III,Graffito mentioning money,"""7"" asses (coins). ""3""",,,,,"Sturnus is not a known Roman name. It is the word for a starling, a kind of bird."
EDR156782,10673 (nota),,383,Clivus,((:caput gladiatoris ad sin. versum et galea armatum)),Drawing of a gladiator's head,,,,,,
EDR154177,10674,,,Suburban Baths,Nuc(es) biber(ia?) XIIII / Singa II / Panem III / Orellas III XII / Thymatla IIII VIII,Inventory,"nuts, drinks(?) - 14 (small coins, probably - this number appears to be the price);
pork rinds - 3;
three (loaves of) bread - 51; 
three cutlets - 12;
four thyme-flavored sausages - 8",,,,,John Bodel's article identified these thymatla as thyme-flavored sausages.
EDR154179,10675,,,Suburban Baths,"Duo sodales hic fuerunt, et, cum diu malum / Ministrum in omnia haberent / nomine Epaphroditum, vix tarde / Eum foras exigerunt (:exegerunt). / Consumpserunt persuavissime cum futuere ((sestertius)) CVS",Graffito about leisure,"Two friends were here, and they had a servant named Epaphroditus who was terrible at everything for the whole time, so they finally kicked him out. (Then?) they spent 105 1/2 sestertii most delightfully when they had sex.",,,,,
EDR102191,10676,,309,Suburban Baths,Hermeros Prìmigeniae dominae: / venì Puteolos in vìco Tyaniano et quaere / a Messio nummulario Hermerotem Phoebì,Graffito giving directions,"Hermeros to his mistress Primigenia: come to Puteoli in the Tyanian street and ask from Messius, the money lender, for Hermeros (slave) of Phoebus.",,,,,"This three line graffito is written by the slave, Hermeros, in the suburban baths. He is directly addressing  a woman, Primigenia, whom he calls his mistress or lover, who he thought would read his message. He leaves his whereabouts in the near-by city, Puteoli,  the name of his owner, Phoebus, and the name of the man who might know his immediate location within the city. She has all the information needed to locate him, if she so desires. Pompeii attests to at least two other addresses scratched into the wall plaster with similar instructions. 
Some little controversy has been sparked over the identity of the woman mentioned in this graffito, Primigenia. While Primigenia is a common name represented in this region, especially in Pompeii (see CIL IV 3976, 5358, 8175, 8260, 8274, 830?1, 8356, 10241), certain scholars have suggested that they all belong to a single individual. Della Corte argues that she was a traveling actress or a vivacious female intellectual, something of a first century pop-icon from Nuceria (one of the inscriptions mentioning her name leaves an address). However, Verone differs, saying that the sheer number of hands these inscriptions are written in, their locations (the baths, the lupinare), and even the name of the street Primigenia lived on (the Venarian road) suggest that she may have been a high class prostitute. See: erotica Pompeiana by Verone and Loves and Lovers in Ancient Pompeii by Della Corte."
EDR144357,10676 (nota),,278,Suburban Baths,((:herma viri)),Drawing of a man,,,,,,
EDR143636,10676 (nota),,,Suburban Baths,"((:caput acutum cum nasone longo et corona, gryllus?))",Drawing of a head,,,,,,
EDR154185,10677,,,Suburban Baths,Apelles cubicularius / cum Dextro Caesar(is) / pranderunt hic / iucundissime et / future simul.,Erotic graffito,"Apelles, the bedroom attendant, with Dexter, (slave) of Caesar, ate lunch here most agreeably and also had sex.",,,,,
EDR154186,10678,,,Suburban Baths,Apelles Mus cum fratre Dextro / Amabiliter futuimus bis / Bina(s),Erotic graffito,"Apelles Mus (was here) with his brother Dexter. We had a great time (literally, ""lovingly had intercourse""), twice with two girls.",,,,,
EDR154189,10679,,,Suburban Baths,Euhodus,Graffito naming Euhodus,Euhodus,,,,,
EDR154190,10680,,,Suburban Baths,Mortu(u)s / Sumpo(rus) ,Graffito,Symphorus is dead,,,,,
EDR154368,10681,,,Suburban Baths,[F]usci Cilix / Cilix,Graffito naming Cilix,"Cilix, (slave) of Fuscus. Cilix.",,,,,
EDR154369,10682,,,Suburban Baths,XII,Roman numerals,"""12""",,,,,
EDR154370,10683,,,Suburban Baths,VIII k(alendas) Iulias,Graffito mentioning a date,Eight days before the Kalends of July,,,,,
EDR154371,10684,,,Rampa,Sala[rius] glabe(r) rusiunnae (?) Lavinia(m) futui,Erotic graffito,Bald Sala(rius?)... Lavinia...,,,,,"This is a graffito, which goes around the corner of the wall. It is scratched throughout, thus, making the reading difficult and uncertain. "
EDR154372,10685,,,Rampa,Caetronius,Graffito naming Caetronius,Caetronius,,,,,
EDR140978   ,10686,,,Rampa,Vivanius Ater ubique,Graffito naming Vivanius,Vivanius Ater everywhere,,,,,"The plaster for this graffito is in very poor condition, and will probably collapse off the wall soon."
EDR154373,10687,,,Rampa,Urso,Graffito,To the bear,,,,,
EDR140979,10688,,,Rampa,VMVCOSV,Series of letters,(untranslatable series of letters),,,,,"The second letter in this graffito is unclear. It could be an M, an A and an L, or any other similar looking letters. "
EDR154429,10689,,,Rampa,Urban(e) v̂a(le),Greetings to Urbanus,"Goodbye, Urbanus",,,,,
EDR154430,10690,,,Rampa,omnibus Salinensi[b]u[s 〈:salutem?〉],Graffito naming the Salinenses,To all the Salinenses...,,,,,
EDR154431,10691,,,Rampa,Modesti,Graffito naming Modestus,of Modestus,,,,,
EDR154432,10692,,,Rampa,Phyl(lis?) va(le),Greetings to Phyllis,"Goodbye, Phyllis.",,,,,
EDR154433,10693,,,Rampa,"Vitalio / pedica ut comatus / urosacula / Syrus / foliatus",Erotic graffito,Vitalio... (more confusing text here).,,,,,In June 2016 the right part of this graffito was obscured by a wooden barrier.
EDR154434,10694,,,Rampa,"Loginus IV Idu[s Iu]lias / Iu{a}lias accepit vim hila(re) / Sturnus am(ator?)",Erotic graffito,"Longinus - Four days before the Ides of July, he received physical force cheerfully. Starling(?)...",,,,,"there are two ""date"" tags on the tag list; it is possible that this writer wrote IULIAS for the month of July twice; RRB: I don't see Sturnus ever used as a name; it's a starling. Turnus doesn't appear as a name either. S(a)turnus maybe, suggests RRB?"
EDR140980    ,10695,,,Rampa,Quam mita (?) vis (?). Pastores atque. Caste monit erga pugiles (?).,Graffito mentioning professions,"How soft is violence? Shepherds too. Chastely, he warns (him?) regarding the boxers.",,,,,
EDR140982 ,10696,,,Rampa,IPIVS VI DV,Series of letters,(untranslatable series of letters),,,,,
EDR140983  ,10697,,,Rampa,"Fortunatus amat Amplianda(m). / Ianuarius amat Veneria(m).
 / Rogamus domina Venus / ut nos in mente(m) habeas / quod te modo interrogamus.",Prayer to Venus,Fortunatus loves Amplianda. Ianuarius loves Veneria. We ask mistress Venus that you keep us in mind (and also) that which we now ask of you.,,,,,"This is one of the longest messages among the Herculanean graffiti, made more remarkable by its small size, with letters that are half a centimeter high. Beginning as a declaration of love and evolving into a divine supplication, the five line prayer to Venus, the goddess of love, was inscribed into the wet plaster of the ramp either by the workman doing the plastering or by someone passing by soon afterward. Plaster dries overnight, narrowing the window of opportunity significantly. Nevertheless, whoever Fortunatus and Ianuarius were, they needed a little divine help to win their women, Amplianda and Veneria. They were at least bold enough to explicitly name themselves and their lovers on the wall of the ramp, the only causeway to and from the sea from the city of Herculaneum."
EDR140986 ,10698,,,Rampa,urso urso,Graffito,"To the bear, to the bear",,,,,"The CIL entry for this graffito implies both instances of URSO are related.  The first URSO, however, is 12.2 cm below and 11 cm to the left of the second URSO."
EDR154537,10699,,,Rampa,{Pa} Paulin,Series of letters,Paulin(us?),,,,,
EDR154538,10700,,,Rampa,Feliciter [P]roculo,Greetings to Proculus,"Good luck, Proculus.",,,,,"The CIL says this graffito is written in red rock. Part of this graffito does appear to be scratched, but some of it (namely the R in ROCULO) appears to be painted."
EDR154539,10701,,,Rampa,Vin(icius?) / Florus / Paris / C(aius) Messenius,List of names,"Vin(icius?), Florus, Paris, Gaius Messenius",,,,,
EDR154540,10702,,,Rampa,Careius,Graffito mentioning a name,Careius (OR Gaius Areius),,,,,Both Careius and Areius are attested gentilicia but each is an uncommon name.
EDR140987,10703,,,Rampa,Marcus,Graffito naming Marcus,Marcus,,,,,"The CIL says this is written in carbone, however, we found no evidence of this. Della Corte does not specify whether this graffito was written in carbone or not, which led us to think Ciprotti assumed it was written in carbone."
EDR156779,10704,,,Rampa,[A]ve Fausta s(alutem),Greetings to Fausta,"Greetings, Fausta!",,,,,
EDR154541,10704 (nota),,,Rampa,((:phallus)) ,Drawing of a phallus,,,,,,
EDR154542,10705,,,Rampa,[--- f]inibus[s? ---] feliciter,Greetings,May things go happily for (some group of people - text damaged),,,,,
EDR154563,10706,,,Rampa,Va(le) va(le),Greetings,"Goodbye, goodbye",,,,,
EDR154588,10707,,,3,ΑΒΓΔΕΖΗΘΙΚΛΜ,Greek alphabet,Beginning of Greek alphabet,,,,,
EDR154589,10708,,,4,ΑΒΓΔΕ,Greek alphabet,Beginning of Greek alphabet,,,,,
EDR140209,10709,,,5,AB / ΑΒΓΔΕΖΗΘ,Greek alphabet,Beginning of Greek alphabet,,,,,
EDR140180  ,10710,,,5,ΜΝΞΟΠΡϹΤΥΦΧΨΩ,Greek alphabet,Second half of Greek alphabet,,,,,
EDR140130,10711,,,5,ABCDEFGHILMNOPQ,Alphabet,Most of a Latin alphabet,,,,,
EDR143814,10711 (nota),,963,5,((:galea gladiatoria cum crista ad dext.)),Drawing of a gladiator helmet,,,,,,This drawing is accompained by eight others in close proximity.
EDR143815,10711 (nota),,964,5,((:galea gladiatoria cum crista ad dext.)),Drawing of a gladiator helmet,,,,,,This drawing is accompained by eight others in close proximity.
EDR143832,10711 (nota),,965,5,((:galea gladiatoria cum crista ad dext.)),Drawing of a gladiator helmet,,,,,,This drawing is accompained by eight others in close proximity.
EDR147158,10711 (nota),,966,5,((:galea gladiatoria)),Drawing of a gladiator helmet,,,,,,This drawing is accompained by eight others in close proximity.
EDR143833 ,10711 (nota),,967,5,((:galea gladiatoria)),Drawing of a gladiator helmet,,,,,,This drawing is accompained by eight others in close proximity.
EDR144783,10711 (nota),,968,5,((:galea gladiatoria cum crista)),Drawing of a gladiator helmet,,,,,,This drawing is accompained by eight others in close proximity.
EDR144784 ,10711 (nota),,969,5,((:galea gladiatoria cum crista)),Drawing of a gladiator helmet,,,,,,This drawing is accompained by eight others in close proximity.
EDR143634,10711 (nota),,970,5,((:galea gladiatoria cum crista ad sin.)),Drawing of a gladiator helmet,,,,,,This drawing is accompained by eight others in close proximity.
EDR144659,10711 (nota),,971,5,((:galea gladiatoria)),Drawing of a gladiator helmet,,,,,,This drawing is accompained by eight others in close proximity.
EDR158824,10711 (nota),,,5,((:phallus)) ,Drawing of a phallus,,,,,,
EDR154590,10712,,,6,ABCDEFGHIK,Alphabet,(Beginning of an alphabet),,,,,
EDR154591,10713,,,6,QABCDEFG,Alphabet,(Beginning of an alphabet),,,,,
EDR154592,10714,,,6,ABCD,Alphabet,(Beginning of an alphabet),,,,,
EDR154593,10715,,,Ins. Or. 1,ΔΕΖΗ,Greek alphabet,(Part of the Greek alphabet),,,,,
EDR154594,10716,,,Ins. Or. 1,ΑΒΓΔ,Greek alphabet,(Beginning of an alphabet),,,,,
EDR154595,10717,,,Ins. Or. 2,ΑΒΓΔΕΖΗΘΙΚΛΜΝΞΟΠΡΣΤΥΦΧΨΩ,Greek alphabet,(The whole alphabet in Greek),,,,,"This graffito presents a complete Greek alphabet. Most of the inscriptions from Herculaneum are in Latin, but this is one of the few written in Greek. It is also special because the alphabet is written out in full; while other graffiti include only segments. The entirety of the alphabet is written in uppercase letters with the exception of the last letter, the omega, which is in lowercase. The graffito is written in very clear handwriting, deeply inscribed, and the plaster is well preserved, which means that the graffito is in good condition. This graffito was found inside a wine shop.


"
,,,,,,,,,,,,
EDR144356,,,40,6,((:sex circuli quorum duo simplices et quattor duplices sunt)),Drawing of circles,,,,,,
EDR145384,,,903,2,((:gladiator armatus cum galea exigua et scuto longo)),Drawing of a gladiator,,,,,,
EDR145943,,,1289,2,((:scaena erotica)),Drawing of an erotic scene,,,,,,
EDR145030,,,1372,5,"((:gryllus feminae cum cornibus, unguibus, dentibus, et alis, falcem aut baculum tenentis))",Drawing of a monster (?),,,,,,
EDR144514,,,1443,5,"((:camelus dromedarius cum cauda, lodicem gerens, ad dextram incedens))",Drawing of a camel,,,,,,"This graffito is an example of the 50 figural graffiti from Herculaneum. Most of the graffiti that we have from Herculaneum are stags, gladiator helmets, or column bases. This one is thought to be a camel, which makes it unique. The animal’s long neck, small head, and feet make it different than other quadrupeds we see. The hooves make it different from a horse, the fact that there is a blanket on it makes it different from the stags, and the neck and head look more similar to a camel than a donkey which is the animal Langner describes it as. A camel would not be a typical animal seen in the Italian peninsula, but artist could have visited Rome and seen one, or even maybe had been in Africa. This is not impossible because Herculaneum did have a lot of boat traffic and Africa is just across the Mediterranean."
EDR145032,,,1688,5,((:gallus cum crista alisque)),Drawing of a rooster,,,,,,
EDR145036,,,2169,Ins. Or. I,((:navis)),Drawing of a boat,,,,,,
EDR145037,,,2220,Ins. Or. I,((:carina navis)),Drawing of a boat,,,,,,
,,,,,,,,,,,,
EDR156980,,"Varone 2000, c",,Decumanus,Sabin(a) Sabina,Graffito naming Sabina,"Sabina, Sabina",,,,,"The name ""Sabina"" is written twice on this column, which stands on the north side of the Decumanus Maximus, the main road of town. Sabin(a) is first written in cursive lettering. Below, it is then written in capital letters. (Cf. Varone 2000: 279.)"
EDR156999,Varone 2000,f,,4,Hic situs / Suellius,Graffito naming Suellius,Suellius is located here.,,,,,
EDR156998,Varone 2000,g,,Suburban Baths,Mortuus / Hercolanius,Graffito ,Hercolanius is dead.,,,,,
EDR156981,Varone 2000,h,,5,k(alendas) III Iulias,Graffito mentioning a date,Three days before the Kalends of July,,,,,
EDR156982,Varone 2000,i,,Decumanus,Paris,Graffito naming Paris,Paris,,,,,
EDR157024,Varone 2000,l,,Suburban Baths,Mortus Deii(us),Graffito,Deii(us) is dead(?).,,,,,
EDR157025,Varone 2000,m,,6,A. Memm(ius),Graffito mentioning a name (?),Aulus Memm(ius),,,,,
EDR157040,Varone 2000,n,,3,Himnus,Graffto mentioning a name (?),Himnus,,,,,
,Guadagno?,,,,,,,,,,,
