EDR#,CIL#,"a, b, c, d or Varone #",Langner #,Insula,Text of Inscription,Caption for graffito,Translation,,AGP = Update of CIL?,Contributors,,Commentary 
EDR140189  ,10517,,,4,Sab(inus?),Beginning of a name,Sab(inus?) (or Sabina?),,,,,"Most likely shortened version of the name Sabinus. The ""S"" is no longer fully extant. Varone 2000c mentions a Sabina, may be related."
EDR140192,10518,,,4,Ara,Graffito,Altar,,,,,
EDR140171,10519,,,4,Saturnina[e] / matr(i?) / uncus a(ssibus) III,Graffito mentioning a price,"For Saturnina, a mother, a hook that costs three asses (coins).",,,,,"Women's names were often repeated in a family, so, both sisters in the Domitius family could be named Domitia, or, as here, perhaps the mother and daughter might share the same name, Saturnina."
EDR140147,10520,,,4,[---]AS[---] conclave Puteolis / [---]LE consistunt Herculanenses naviculae,Graffito mentioning the cities of Puteoli and Herculaneum,... the place at Puteoli... the small Herculanean boats dock.,,,,,Puteoli is another ancient city in the Bay of Naples.
EDR151829,10521,,,4,Myrine mari,Graffito naming Myrine,Myrine to the sea (?),,,,,"Myrine is a transliterated name from the Greek ""Μυρρινε. In the process of transliteration the name is simplified by having a rho drop out from the Greek. Μυρρινε is a popular Greek name and was the name of a character in Aristophanes' play Lysistrata. The name appears elsewhere in Italy - 7 times total, including twice in Pompeii."
EDR151831,10522,,,4,,Graffito,... I asked that you do this... all your affairs... which... safe.,,,,,A couple words can be identified but there is a lot of damage to this graffito.
EDR140173  ,10523,a,,4,SPI / Oceanus,Graffito naming Oceanus,Hope(?) / Oceanus,,,,,SPI perhaps a tria nomina.
EDR140176 ,10523,b,,4,ON,Series of letters,,,,,,
EDR140177,10523,c,,4,assis IIIIHIINII / CCCXXX,Graffito mentioning money,"Coins (...series of characters) / ""330""",,,,,
EDR140170 ,10524,,,4,Ianu(arius?),Beginning of a name (?),Ianu(arius?),,,,,Could be a name or the month. Same name mentioned in CIL IV.10697. The month is also referenced in CIL IV.10499.
EDR140152,10525,,,4,Hyacinthus hic fuit / Verginiam suam,Graffito naming Hyacinthus and Verginia,"Hyacinthus was here, his Verginia...",,,,,"""Verginiam suam"" being in the accusitive makes this translation tricky."
EDR145942 ,10526,,213,4,Proculus ((:herma viri)),Graffito naming Proculus,Proculus,,,,,This graffito is accompanied by the bust of a man possibly meant to represent Proculus.
EDR140174,10527,,,4,vasa,Mention of a vase,Vase,,,,,This graffito was found in the Taberna Vasaria where many wine vases were found.
EDR127408 & EDR140190,10528,,1055,4,((:gladiatores inter se dimicantes)) Euhodus / et Satura / Puteolani,Graffito naming two individuals from Puteoli,"Euhodus and Satura, from Puteoli",,,,,A picture of two gladiators fighting accompanied the textual graffito.
