term,lemma
iuni,iuni
iuniae,iunius
iunius,Iunius
iures,iuro
ius,ius
iusto,iustus
iutto,iutto
iuvenalium,iuuenalia
iuvenis,iuuenis
iuvari,iuuo
k,k
kalendas,kalendas
kalendis,kalendis
kalends,kalends
kz,kz
l,l
labori,labor
labrum,labrum
labyrinth,labyrinthum
labyrinthus,labyrinthus
lacaenae,lacaenae
lacene,lacene
lacrumae,lacruma
lagoenas,lagoena
lali,lali
lalius,Lalius
lanternae,lanterna
laqueo,laqueum
lardi,lardum
largificatis,largifico
lasius,lasius
latinus,latinus
laviniam,Laviniam
left,left
legionis,legio
leges,lego
legit,lego
lentulo,lentulus
leo,leo
les,leo
leon,leo
leontine,leontine
lepidi,lepis
liberalis,liberalis
liberta,liberto
liberti,libertus
librari,librarium
liceat,liceo
licintus,licintus
licinius,licinus
ligaria,ligaria
ligas,ligo
like,like
lineis,linea
linea,lineola
lineae,lineus
lingit,lingo
lingere,lingo
lingis,lingo
lina,linum
livius,livius
loco,loco
locare,loco
locum,locum
locus,locus
locus est rufinae,locus est rufinae
lodicem,lodix
lolli,lolli
lollianus,Lollianus
lollius,Lollius
long,long
longinus,Longinus
longo,longiusculus
longoque,longoque
longis,longus
lucanica,lucanicus
luccei,luccei
lucciae,lucciae
lucernam,lucerna
lucianus,lucianus
lucidae,lucidus
lucio,lucifugus
lucius,lucifugus
lucilius,Lucilius
lucium,lucius
lucii,Lucius
luci,Lucius
lucreti,Lucreti
lucrio,Lucrius
lucubratorium,lucubratorius
luculentissime,luculentus
lucumo,lucumo
ludi,ludi
lusit,ludo
lumbos,lumbus
luminum,lumen
lusor,lusor
luterem,luter
lux,luxum
l̅v̅,l̅v̅
m,m
ma,ma
macer,macer
mae,mae
magistri,magister
magister,magister
magis,magnificenter
magnum,magnum
magna,magnus
magni,magnus
magnus,magnus
magno,magnus
magonius,magonius
maias,maia
maior,maior
malo,male
maledixi,maledico
malianus,malianus
malis,malis
maloque,maloque
malum,malum
malus,malus
mammium,mammium
man's,man's
mandatus,mandatus
mansi,mando
manilius,manilius
manio,manio
mansit,mansit
mansueta,mansuesco
mansuetus,mansuetus
manius,manus
manus,manus
marca,Marca
marcello,Marcellus
marcili,marcili
marcius,Marcius
marcum,marcus
marco,Marcus
marcus,Marcus
marci,Marcus
mar,mare
marim,marim
marmorem,marmoro
mars,mars
martis,martes
martialis,martialis
martias,martias
mari,masculinus
mare,masculinus
matris,mater
matri,mater
matrona,matrona
max,max
maximum,maximus
mazgaba,mazgaba
me,me
mebi,mebi
medicus,medicatus
medicavit,medico
medio,medio
medusae,medusae
mei,mei
meis,mei
meientem,meientem
melisse,melisse
meminit,memini
memmius,memmius
memor,memoris
men,men
menander,menander
menedemerumenus,menedemerumenus
mente,mens
mentulam,mentula
mercedem,merces
merces,merco
mercurius,mercurius
messalla,messalla
messenius,messenius
messio,messio
messìo,messìo
methe,methe
meam,meus
mea,meus
meae,meus
mi,mi
micciociocio,micciociocio
miccìocìocìo,miccìocìocìo
miccionis,miccionis
mihi,mihi
miles,miles
militibus,miles
mille,mille
mimus,mimus
minimum,minimum
ministrum,minister
minor,minus
minus,minus
miscella,miscellus
miserus,miser
missus,missus
mita,mitificus
misit,mitto
mmmmus,mmmmus
mnester,mnester
moderatus,moderatus
modesto,modestus
modestus,Modestus
modesti,Modestus
modo,modo
modum,modus
moeɔcia,moeɔcia
mol,molitor
monit,monitum
montani,montanus
mopsus,Mopsus
moribus,mores
moritur,morior
morieris,morior
mortis,mors
mortuus,mortuus
mucius,mucius
mul,mul
mula,Mula
mulam,Mula
mulierum,mulier
mulieris,mulier
mulieri,mulier
mulierarianus,mulierarianus
mulieres,muliero
multis,multa
multas,multa
multo,multo
mulvi,mulvi
mulviu,mulviu
munus,munus
muner,munus
murmillo,murmillo
muro,murus
mur,mus
mus,Mus
musae,musa
muscario,muscarius
musicus,musicus
mutavit,mutito
myrine,Myrine
myrtale,myrtale
myrtis,myrtus
mysine,mysine
mystagogus,mystagogus
mystagogus μυσταγωγός,mystagogus μυσταγωγός
mystes,mystes
mystice,Mysticus
nais,nais
nam,nam
narcissus,narcissus
nasone,nasone
nasso,nasso
nasum,nasum
nata,nata
natandus,natandus
nate,natus
nave,naue
naviculae,nauicula
navium,nauis
navis,nauis
naves,nauis
nauplius,Nauplius
navaspa,navaspa
ne,ne
nec,nec
negatis,nego
nempius,nempius
decimi,nepotulus
neptunalis,neptunalis
neptunus,neptunus
neptvnus,neptvnus
neque,neque
nequam,nequior
neronianus,neronianus
nas,nes
nescit,nescio
nescire,nescio
ni,ni
ní,ní
nica,nica
nicanor,Nicanor
nicedius,nicedius
nicephor,nicephor
nice,nico
nicopolis,Nicopolis
nigro,nigrum
nihil,nihil
nisi,nisi
nixus,nixus
"ʾnʿm",ʾnʿm
nn,nn
nat,no
