term,lemmatized
((:navis,((:navis
cum,cum
malo,malus
et,et
rudibus)),rudibus))
((:lineae,((:lineae
variae,varia
intersectae)),intersectae))
tbt,tbt
((:gladiator,((:gladiator
galea,galea
cristata,cristatus
scuto,scutum
sicaque,sicaque
armatus)),armatus))
((:parma,((:parma
gladiatoria)),gladiatoria))
((:rete?)),((:rete?))
pitamnus,pitamnus
marc,marc
sexvir,sexvir
quos,qui
pompeiis,pompeiis
corydon,corydon
persi,permulceo
caii,caii
asini,asinus
proculi,proculis
((:capra,((:capra
ad,ad
sin)),sin))
σαβίνιο,σαβίνιο
((s,((s
retrogradum)),retrogradum))
mystagogus,mystagogus
μυσταγωγός,μυσταγωγός
docens,doceo
etoen,etoen
lucian+,lucian+
nica,nica
chreste,chreston
ipsime,ipsime
μουσαῖος,μουσαῖος
ἐνθάδε,ἐνθάδε
βινεῖ,βινέω
((:shield)),((:shield))
αβγδεζηθ,αβγδεζηθ
modesto,modestus
teste,testis
euhodus,euhodus
((:galea,((:galea
gladiatoria,gladiatorius
cum,cum
crista)),crista))
[-,[
-,punc
-]nq[-,]nq[
-,punc
-],]
((:navis,((:navis
velis,velis
maloque,malo
instructa)),instructa))
flavia,flavia
((:duae,((:duae
carinae,carina
navium)),navium))
((:equus,((:equus
ad,ad
d)),d))
((:galea,((:galea
gladiatoria,gladiatorius
cum,cum
crista,crista
ad,ad
sin)),sin))
((:stella)),((:stella))
((:figura?)),((:figura?))
φακι,φακι
κογιτάτουϲ,κογιτάτουϲ
((:galea,((:galea
gladiatoria,gladiatorius
ad,ad
sin)),sin))
((:gladiator)),((:gladiator))
((:vir,((:vir
petasatus,petasatus
et,et
alter,alter
baculum,baculis
tenens,teneo
(=mercurius?),(=mercurius?)
animal,animal
(taurus?),(taurus?)
eos,is
prosequens,prosequor
et,et
duae,duo
figurae,figura
procul)),procul))
mentula,mentula
((sestertiis)),((sestertiis))
((:caput,((:caput
hominis,homo
vel,vel
galea?)),galea?))
((:navis,((:navis
cum,cum
remis,remi
et,et
velis,velis
instructa)),instructa))
((:linea,((:linea
curva,curvo
intersecta,intersecta
aliis,alius
lineis)),lineis))
((:gladiator,((:gladiator
quasi,quasi
procumbens)),procumbens))
s²+,s²+
gs²m,gs²m
anedia,anedia
((:duae,((:duae
aves,aveo
ad,ad
sin)),sin))
soli,solus
ultas,ulciscor
ἀμέριμνος,ἀμέριμνος
ἐμνήσθη,μιμνήσκω
ἁρμονίας,ἁρμονία
εἰδίας,εἰδίας
επ᾿,επ᾿
ἀγαθῷ,ἀγαθός
ἡς,ἡς
αλε,αλε
καλοῦ,καλός
ὀνόματος,ὄνομα
((:taurus,((:taurus
capite,caput
cornuto,cornutus
ad,ad
d,d
incedens)),incedens))
&#60;:ad,&#60;:ad
perpendiculum;,perpendiculum;
textus,textus
non,non
legitur&#62;,legitur&#6;
ipse,ipse
septentrio,septentrio
((:navis,((:navis
velis,velis
et,et
rudentibus,rudo
et,et
gubernaculo,gubernaculum
instructa)),instructa))
mercurius,mercurius
anicete,anicete
augu,augu
((:avis,((:avis
in,in
saxo,saxum
stans)),stans))
((:avis?,((:avis?
ad,ad
sin)),sin))
((:vir,((:vir
magnum,magnus
phallum,phallum
meientem,meientem
tenens,teneo
ad,ad
sin,sin
conversus)),conversus))
ὀνέϲιμοϲ,ὀνέϲιμοϲ
ευνυϲ,ευνυϲ
cλινico,cλινico
((:avis,((:avis
parva,parvus
ad,ad
sin,sin
folium,folium
carpens)),carpens))
ἥσυχος,ἥσυχος
&#60;:nomen,&#60;:nomen
scriptum,scribo
ad,ad
dexteram,dexter
imaginis,imago
scariphatae&#62;,scariphatae&#6;
lagoenas,lagoenas
δεργιαχαι,δεργιαχαι
καντρια,καντρια
shb,shb
w,w
hʾys¹,hʾys¹
ny,ny
nn,nn
+y,+y
quartu,quartu
&#60;:ad,&#60;:ad
dextram&#62;,dextram&#6;
διὸϲ,διὸϲ
παῖϲ,παῖϲ
καλλίνικοϲ,καλλίνικοϲ
ἡρακλῆϲ,ἡρακλῆϲ
&#60;:ad,&#60;:ad
sinistram&#62;,sinistram&#6;
κατοικεῖ,κατοικέω
μηδὲν,μηδείς
εἰσίτω,εἴσειμι
κακόν,κακός
((:denarius)),((:denarius))
πυγίσε,πυγίσε
ἀναγινό&#60;sup&#62;σ&#60;/sup&#62;κοντα,ἀναγινό&#60;sup&#6;σ&#60;/sup&#6;κοντα
((:certamen,((:certamen
gladiatoreum)),gladiatoreum))
[---]λχιθαι,[]λχιθαι
clemen,clemen
[---]bius,[]bius
((:phallus,((:phallus
ad,ad
sin,sin
versus)),versus))
aspasia,aspasia
abcedfgh[-,abcedfgh[
-,punc
-],]
umor[---],umor[]
caetronius,caetronius
asseres,assero
tiberius,tiberius
claudius,claudus
[---]at,[]at
veniat,venio
albinus,albinus
vidimus,video
sacomata,sacomata
castus,castus
cer[---],cer[]
communem,communis
praefecto,praeficio
quorumc,quorumc
primuis,primuis
rufini,rufini
cubiculum,cubiculum
roma[---],roma[]
numerium,numerium
com,com
circius,circius
&#60;:litteris,&#60;:litteris
inversis&#62;,inversis&#6;
avari,avaris
agite,ago
staphilus,staphilus
quieta,quietus
[---]r,[]r
[---]s,[]s
bellissimum,bellus
rogo,rogo
anatolii,anatolii
asbestus,asbestus
phrastes,phrastes
cdic++,cdic++
eulymenus,eulymenus
íiiíiiiiiiíiiiiiiííí,íiiíiiiiiiíiiiiiiííí
receptus,recipio
lucretio,lucretius
[-,[
-,punc
-]o,]o
[-,[
-,punc
-]foro,]foro
amerimnus,amerimnus
popidii,popidii
((denarii)),((denarii))
alleius,alleius
astragalus,astragalus
curator,curator
usque,usque
eidus,eidus
agrippa,agrippa
tito,titus
statilio,statilius
ce+ria,ce+ria
iuli,iulius
heleni,helenium
turma,turma
hilari,hilaris
septumiu[---]icio,septumiu[]icio
fabio,fabius
((%1000)),((%000))
+vllv,+vllv
quaestor,quaestor
d[-,d[
-,punc
-],]
vectat,vectat
alexander,alexander
restitutus,restituo
((:nomen,((:nomen
restitvtvs,restitvtvs
in,in
forma,forma
navis,navus
scriptum)),scriptum))
sacculum,sacculis
hermes,hermes
lite,lis
dupundi,dupundi
abascantus,abascantus
marcellus,marcellus
fabiis,fabiis
pyramus,pyramus
scutularius,scutularius
africana,africana
ianuaria,ianuaria
proculo,proculo
quintilius,quintilius
ccassa,ccassa
lucrio,lucrius
amasuc+++,amasuc+++
sarnensis,sarnensis
aedituus,aedituus
[-],[]
augusti,augustus
calchimi,calchimi
oc,oc
eterate,eterate
celesius,celesius
melisse,melisse
iar,iar
aniciae,aniciae
muner,muner
fusci,fuscus
cilix,cilix
hostius,hostius
socio,socius
exempta,eximo
stercora,stercoro
deliciae,deliciae
[---]si,[]si
possem,possum
[---]entur,[]entur
aquas,aqua
caesareo,caesareus
deius,deius
caerulus,caerulus
abcdefgh++[---],abcdefgh++[]
n+++++++,n+++++++
fronto,fronto
curiosus,curiosus
((:corona)),((:corona))
spleia,spleia
tabulas,tabula
muscario,muscario
[ss,[ss
cccc,cccc
xxx],xxx]
proculum,proculis
[cr],[cr]
cunctorum,cunctor
turba,turba
probavit,probo
ingenuus,ingenuus
postulat,postulo
pietas,pietas
clleri,clleri
genes[---],genes[]
(:cllerigenes?),(:cllerigenes?)
sollemnis,sollemnis
celerina,celerina
spuri,spurius
selinunti,selinunti
aegrotes,aegroto
mopse,mopse
((:duo,((:duo
circuli)),circuli))
augustis,augustus
iuvenis,juvenis
december,december
&#60;:litterae,&#60;:litterae
scriptae,scribo
sunt,sum
retroversae&#62;,retroversae&#6;
amandus,amo
mateius,mateius
unus,unus
mam,mam
sutores,sutor
mavir[--]um,mavir[]um
casellius,casellius
anthah[--]m,anthah[]m
[--]m,[]m
quinquagin[ta---],quinquagin[ta]
ionice,ionice
quintum,quintus
varium,varius
procule,proculis
dianensis,dianensis
omen,omen
quinti,quintus
hortensi,hortensius
issa,issa
fabia,fabia
velim,volo
fieri,fio
hora,hora
ionicus,ionicus
vera,verus
faustin`u´m,faustin`u´m
viginti,viginti
aurum,aurum
tua,tuus
nocturna,nocturnus
frangetur,frango
rixa,rixo
sparsa,spargo
invenies,invenio
limina,limen
rosa,rodo
erit,sum
excludis,excludo
frigida,frigidus
deserta,desero
nocte,nox
iacebis,jaceo
anus,anus
incalavit,incalavit
hospitium,hospitium
r---,r
v[+4+]nis,v[+4+]nis
he,he
sollemnes,sollemnis
scordopordonicus,scordopordonicus
lucr[---],lucr[]
aelius,aelius
magnus,magnus
plotillae,plotillae
amv,amv
((:phallus,((:phallus
directus,dirigo
versus,verro
os,os
capitis,capio
illius)),illius))
euantillus,euantillus
habito,habeo
suo,suus
victorius,victorius
vasculum,vasculis
navaspa,navaspa
divitias,divitiae
scripula,scripulum
a---,a
rite,rite
cor,cor
is,is
aniceti,aniceti
capella,capella
((:palmae,((:palmae
ramus)),ramus))
((:palm,((:palm
branch)),branch))
pedicare,pedicaris
volo,volo
deinde,deinde
redii,redeo
domi,domus
primigenio,primigenio
septumius,septumius
d((:navis)),d((:navis))
adauctus,adaugeo
kalends,kalends
leontine,leontine
mansuetus,mansuetus
provocator,provocator
veneri,veneri
palmam,palma
feret,fero
africanus,africanus
moritur,morior
puer,puer
condiscens,condisco
cui,qui
dolet,doleo
africano,africa
[---]inibu[s,[]inibu[s
---],]
algemus,algemus
cv[+]xxx,cv[+]xxx
valete,valeo
hercolanius,hercolanius
hetymus,hetymus
((r)),((r))
transiit,transeo
caves,caveo
timinia,timinia
iures,juro
vinif---,vinif
inquid,inquid
hymnus,hymnus
vinum,vinum
quatusui++i,quatusui++i
nig[---],nig[]
capitoni,capito
nigro,niger
maio,maio
noctibus,nox
pervig[ilans,pervig[ilans
totis,totus
ego,ego
propter,propter
a]morem,a]morem
detur,do
divam,diva
[posse,[posse
videre,video
meam],meam]
conglacio,conglacio
s[ub,s[ub
sideribus,sidus
sed,sed
pectus],pectus]
aestost,aestost
[---]t,[]t
aulum,aulis
treb[ium,treb[ium
aedilem],aedilem]
dignum,dignus
rei,res
publicae,publicus
livius,livius
sec,sec
undus,undus
feliculam,feliculam
[-]ic,[]ic
&#60;:textus,&#60;:textus
in,in
quattuor,quattuor
versibus,versus3
non,non
legitur&#62;,legitur&#6;
homulo,homulo
homini,homo
satur,satur
comib,comib
salinensi,salinensi
v[---],v[]
iuliae,iuliae
heraclae,heraclae
miximus,miximus
lecto,lectus
fateor,fateor
peccavimus,pecco
hospes,hospes
dices,dico
quare,quare
nulla,nullus
matella,matella
eutychus,eutychus
acceptum,accipio
domino,dominus
apriles,aprilis
iiixλfelix,iiixλfelix
[-,[
-,punc
-,punc
d]ece[mbr-,d]ece[mbr
-,punc
-],]
((scripulum)),((scripulum))
syncletus,syncletus
schola,schola
surrentum,surrentum
cacavi,cacavi
fraudans,fraudo
illi,ille
amant,amo
gnome,gnome
annis,annus
homo,homo
bellus,bellus
habitas,habito
armarium,armarium
ibi,ibi
homines,homo
[+1+],[++]
habitamus,habito
dii,dius
faciant,facio
pompeis,pompeis
f,f
u,quintus
formae,forma
nauplius,nauplius
siculus,siculus
hermia,hermia
taurus,taurus
syh+cvs,syh+cvs
ro,rus
aprilis,aprilis
vas,vas
phileros[-],phileros[]
magius,magus
mecum,ego
nolo,nolo
cenam,cena
vendere,vendo
chirographum,chirographon
eupor,eupor
fulgur,fulgur
[conditum,[conditum
---],]
haec,hic
fuerat,sum
quaesita,quaero
dies,dies
innoxia,innoxius
famae,fama
i[-]dicio,i[]dicio
sem,other
pauca,paucus
aug[-],aug[]
binet,binet
ac,atque
miles,miles
legionis,legio
mulieres,mulier
scierunt,scio
nisi,nisi
paucae,paucus
ses,ses
erunt,sum
nonnius,nonnius
titinius,titinius
l̅v̅,l̅v̅
nuces,nuces
biberes,bibo
singula,singulus
ofellas,ofella
thymatula,thymatula
ocea,ocea
oceano,oceanus
geganius,geganius
aedilis,aedilis
iuvenalium,juvenalis
crocale,crocal
barbata,barbatus
valeat,valeo
novisti,nosco
hominem,homo
scis,scio
commiseresce,commiseresce
mei,meus
da,do
veniam,venio
flos,flos
veneris,venio
de,de
((:herma,((:herma
viri)),viri))
clappo,clappo
fuat,sum
camella,camella
ie++,ie++
plani,planus
sev+,sev+
((:instrumentum,((:instrumentum
gladiatorum,gladiator
galea)),galea))
s++,s++
sumit,sumo
((:instrumentum,((:instrumentum
gladiatorum,gladiator
thorax)),thorax))
pyrrichus,pyrrichus
m[-,m[
-,punc
-]i,]i
tamen+,tamen+
hyacinthus,hyacinthus
verginiam,verginiam
suam,suus
rufula,rufula
&#60;:textus,&#60;:textus
in,in
tabula,tabula
ansata&#62;,ansata&#6;
augusto,augustus
evodius,evodius
propero,propero
sava,sava
fac,facio
ames,amo
((:palmae)),((:palmae))
habitaverunt,habito
rufa,rufus
ita,ita
contra,contra
υφαμτ,υφαμτ
ser,seruius
ammonium,ammonium
vetio,vetio
lucium,lucius
plotium,plotium
soterichianus,soterichianus
abcdefghiklmnopqrstvx,abcdefghiklmnopqrstvx
vernionis,vernio
beliatus,beliatus
genialis,genial
thelone,thelone
&#60;:retrogradum&#62;,&#60;:retrogradum&#6;
c((signum))oeivs,c((signum))oeivs
sisininus,sisininus
phyl,phyl
severo,sero
anicetia`ania´ne,anicetia`ania´ne
axungiam,axungia
alium,alius
manipulos,manipulus
fures,furo
&#60;:pone,&#60;:pone
hanc?&#62;,hanc?&#6;
&#60;:infra?&#62;,&#60;:infra?&#6;
nexa,necto
vita,vito
anima,anima
coma,coma
interna,internus
fine,finis
locabo,loco
ca[+4+],ca[+4+]
carnem,caro
renes,renes
iecur,jecur
anum,anus
aciem,acies
aciemque,acies
utinam,utinam
emoria,emoria
tu[r,tu[r
m],m]
axumus,axumus
(:maximus),(:maximus)
precor,precor
huius,hic
capillu,capillu
carne,carnis
ren,reor
edas,edo
lepidi,lepidus
possidius,possidius
a[-,a[
-,punc
],punc
habitabit,habito
atilius,atilius
galerii,galerii
cereales,cereal
sint,sum
cumis,cumis
siquis,siquis
variae,varia
am,am
hervi,hervi
quinto,quintus
postumio,postumio
eat,eo
th,th
soles,soleo
rhenus,rhenus
&#60;:proxima,&#60;:proxima
stria&#62;,stria&#6;
vesub,vesub
decimius,decimus
cohortis,cohors
praetorianae,praetorianus
piero,piero
ver+++,ver+++
fortuna,fortuna
sic,sic
hyginus,hyginus
numini,numen
silentiolus,silentiolus
((:nomen,((:nomen
silentiolus,silentiolus
in,in
forma,forma
navis,navus
scriptum)),scriptum))
l---,l
p---,p
valeant,valeo
spedio,spedio
antymo,antymo
redibis,redeo
e,e
pompeiano,pompeiano
augustalis,augustal
[-,[
-,punc
-]+,]+
titius,titius
v+,v+
tuque,tu
maias,maia
periit,pereo
consul,consul
lollianus,lollianus
5,5
ampelus,ampelus
[---]ccus,[]ccus
glaucus,glaucus
asas,asas
numero,numerus
anaticulas,anaticula
clodia,clodia
venatio,venatio
pugnabit,pugno
kalendis,kalendae
septembris,septembris
ursos,ursus
((:phalli,((:phalli
figura)),figura))
theorus,theorus
tamen,tamen
mazgaba,mazgaba
+++[]s,+++[]s
puteolanis,puteolanis
nucherinis,nucherinis
felicia,felicia
uncum,uncus
petecusanis,petecusanis
collatius,collatius
victrix,victrix
longinus,longinus
idu[s,idu[s
iu]lias,iu]lias
accepit,accipio
hilare,hilaris
sturnus,sturnus
amator,amator
vitae,vita
meminit,memini
scio,scio
aquiti,aquiti
mortis,mors
taeduisti,taeduisti
mysine,mysine
〚+10+v〛,〚+0+v〛
etsi,etsi
qua,qui
miserus,miserus
paenulam,paenula
palliolum,palliolum
[posita,[posita
ad,ad
fau]stillam,fau]stillam
pr[o---],pr[o]
usura,utor
amata,amo
admiror,admiror
paries,pario
cecidisse,cado
ruina,ruina
sacaba,sacaba
caramilus,caramilus
&#60;:lectio,&#60;:lectio
incerta&#62;,incerta&#6;
((:duo,((:duo
gladiatores,gladiator
a,ab
quibus,qui
alter,alter
sub,sub
sac,sac
alterum,alter
sub,sub
m,m
tridente,tridens
petit)),petit))
facilis,facilis
irrumo,irrumo
v+++k+++as,v+++k+++as
fellatrix,fellatrix
heribus,heribus
miscella,miscellus
&#60;:cupimus&#62;,&#60;:cupimus&#6;
visere,viso
lares,lar
casium,casium
sc[-,sc[
-,punc
-]rios,]rios
habes,habeo
[iamque,[iamque
omn]es,omn]es
vicini,vicinus
incendia,incendium
participantur,participo
facia]m,facia]m
tradere,trado
++++++++,++++++++
martias,martias
numisii,numisii
gladiatorum,gladiator
paria,par
herculani,herculani
sei[-,sei[
-,punc
-],]
odem[-,odem[
-,punc
-],]
pompe&#60;:vacat&#62;,pompe&#60;:vacat&#6;
lardi,lardi
asse,assis
oleum,oleum
suarium,suarius
stellio,stellio
ενης,ενης
σα++πι,σα++πι
μ++μ,μ++μ
νικλαπαν,νικλαπαν
quibus,qui
sec+dus,sec+dus
secu+,secu+
((:certamen,((:certamen
gladiatorum)),gladiatorum))
[---]++,[]++
ἐπ’,ἐπί
ἀφροδισίας,ἀφροδίσιος
ta++++++onsiii,ta++++++onsiii
δη,δη
λικιο,λικιο
extan[+1+],extan[++]
pisu,pisu
quinque,quinque
euplus,euplus
hodie,hodie
nocea[-,nocea[
-,punc
m]ecio,m]ecio
vi+iv+a,vi+iv+a
ca+bi,ca+bi
vasileus,vasileus
habitat,habito
castris,castrum
august[i-,august[i
-,punc
-],]
sub,sub
valeri[o-,valeri[o
-,punc
-],]
carm,carm
+iron,+iron
t---,t
lux,lux
no&#60;:vacat&#62;ni,no&#60;:vacat&#6;ni
ὀνήσιμε,ὀνήσιμος
κλίδισον,κλίδισον
μίαινε,μιαίνω
θεῶν,θεός
ἐκτημένην,ἐκτημένην
ἐπύγισα,πυγίζω
γω,γω
[----]+ειν,[]+ειν
[----]+ειω,[]+ειω
ο,εὐρύπορος
θ+ορι,θ+ορι
pv+iiidis,pv+iiidis
oliva,oliva
condita,condio
novembres,novembres
fem[---]s,fem[]s
a[---],a[]
[---,[
acce]pit,acce]pit
crusali,crusal
valentina,valentina
c+,c+
augustas,augustus
atinas,atineo
ursus,ursus
montani,montanus
++νιε+++,++νιε+++
traces,traces
+αρ++++++,+αρ++++++
++δω++++++,++δω++++++
ζήτημα++++,ζήτημα++++
+τ+++++α,+τ+++++α
++ν++++τια,++ν++++τια
εχ++++ον+,εχ++++ον+
militibus,miles
valeamus,valeo
recte,rectus
vexillum,vexillum
caecilius,caecilius
[---]rio,[]rio
isidoru,isidoru
((:viri,((:viri
caput)),caput))
numerus,numerus
centrv+,centrv+
decimus,decimus
thraso,thraso
sacenio,sacenio
loco,locus
habeo,habeo
+iuilius,+iuilius
trifolio,trifolium
cai,cai
flavi,flo
librari,libro
domus,domus
lolli,lolli
ager,ager
emptus,emo
av,av
varrvm+ri,varrvm+ri
rogavit,rogo
attium,attium
pedicarem,pedicaris
phryges,phryges
extabant,extabant
agit,ago
apex,apex
dexter,dexter
((:gladiatores,((:gladiator
inter,inter
se,sui
dimicantes)),dimicantes))
satura,sero
puteolani,puteolani
burrus,burrus
petat,peto
ἐπαφρᾶ,ἐπίἀφράζω
vol,vol
marcello,marcellus
bona[---],bona[]
hectic,hectic
[+10+,[+0+
plu]rimam,plu]rimam
φάβιος,φάβιος
[---]n,[]n
ore,os
ap[---],ap[]
[---]sumat,[]sumat
aut,aut
ea,is
va[---],va[]
[---]sumpti,[]sumpti
opus,opus
[---]udam,[]udam
eu,eu
ei[---]vdai,ei[]vdai
mita,mita
vis,volo
pastores,pastor
atque,atque
caste,castus
monit,monit
erga,erga
pugiles,pugil
epaphrodite,epaphrodite
renibus,renibus
corvenius,corvenius
pereat,pereo
tanto,tantus
v̅v̅,v̅v̅
i̅i̅i̅,i̅i̅i̅
v̅,v̅
iii((semis)),iii((semis))
ἔλαβες,λαμβάνω
παρέχρησας,παρέχρησας
ἀπήνεγκες,ἀπήνεγκες
εδρεϲ,εδρεϲ
μεζηθικλλι,μεζηθικλλι
ξοπ[---],ξοπ[]
symmachus,symmachus
irrumat,irrumo
siccia,siccia
eucapa,eucapa
gaius,gaius
sabinius,sabinius
statio,statio
&#60;:vv,&#60;:vv
2-4,4
intra,intra
lineis,linea
dispositis,dispono
in,in
quadrato,quadro
scripti,scribo
sunt&#62;,sunt&#6;
gustas,gusto
nuceriae,nuceriae
bibes,bibo
nucc++++es,nucc++++es
caesia,caesius
n[---],n[]
parvum,parvus
p[---],p[]
bibe,bibo
lude[---],lude[]
semper[---],semper[]
sautrane,sautrane
sitiens,sitio
praebuit,praebeo
petilius,petilus
ornamenta,ornamentum
fausto,faustus
siloni,silo
honoris,honor
causa,causa
suri,surus
liberti,libertus
aphrodite,aphrodite
t[--]u,t[]u
formosus,formosus
isse,eo
issus,issus
postima,postima
((:piscis,((:piscis
nat,no
ad,ad
sin)),sin))
amicus,amicus
umbricia,umbricia
mario,marius
quovis,quovis
unguentarius,unguentarius
optime,optume
venerem,venerem
poppaeae,poppaeae
triquinias,triquinias
modesti,modestus
rare,raris
lali,lal
valens,valeo
ìas,ìas
charca,charca
meam,meus
syra,syron
amethyste,amethyste
ruinis,ruina
tot,tot
scriptorum,scriptor
taedia,taedium
sustineas,sustineo
corusticus,corusticus
+ell++,+ell++
cerialis,cerial
pmic+++rma,pmic+++rma
vicccm,vicccm
textor,textor
coponiaes,coponiaes
ancillam,ancilla
iridem,iridem
quidem,quidem
illum,ille
curat,curo
ille,ille
rogat,rogo
illa,ille
commiseretur,commiseretur
rivalis,rival
invidiose,invidiosus
quia,quia
rumperis,rumpo
sectari,sectaris
formonsiorem,formonsiorem
pravissimus,pravissimus
`q´suino,`q´suino
titus,titus
irrius,irrius
&#60;:adperpendiculum&#62;,&#60;:adperpendiculum&#6;
mystes,mystes
communi,communis
salute,salus
turnum,turnum
aequoribus,aequor
ibat,eo
armis,arma
virtutis,virtus
merces,merces
gloriae,gloria
victoriae,victoria
spem,spes
causas,causa
fullones,fullo
ululamque,ululamque
cano,cano
non,non
virumque,vir
stationem,statio
fecit,facio
lucianus,lucianus
ligaria,ligaria
purmentarium,purmentarium
caseum,caseus
om+,om+
accepi,accipio
porcinam,porcina
gavi+,gavi+
thraex,thraex
s[---],s[]
nescire,nescio
dare,do
pierus,pierus
celadus,celadus
papiri,papiri
&#60;:servum&#62;,&#60;:servum&#6;
amandu[m---]um,amandu[m]um
medicavit,medicavit
venivit,venivit
mulieri,mulier
decimi,decimus
lucreti,lucreti
onustus,onustus
eques,eques
rationis,ratio
saga,sagum
murmillo,murmillo
frangere,frango
costas,costa
fustibus,fustis
lumbos,lumbus
debilitare,debilitaris
deae,dea
potest,possum
tenerum,tener
pertundere,pertundo
pectus,pectus
possim,possum
caput,caput
fuste,fustis
ἄπαις,ἄπαις
((:figurae,((:figurae
hominum)),hominum))
αψοε,αψοε
ηθχα,ηθχα
εyη,εyη
ευη,ευη
((:caput,((:caput
gladiatoris,gladiator
ad,ad
sin)),sin))
πρυτανικός,πρυτανικός
υτινι,υτινι
ξρακυτ,ξρακυτ
γενος,γενος
ν,ἐν
δημόκριτος,δημόκριτος
κυβ,κυβ
τίτος,τίτος
((:aedes)),((:aedes))
εὐτύχει,εὐτυχέω
πολυπου,πολυπου
ἀλέξανδρε,ἀλέξανδρος
εὐφροσύνη,εὐφροσύνη
ὀνησίμου,ὀνήσιμος
[---]γβαβ,[]γβαβ
θελητὴ,θελητὴ
κυρία,κυρία
++++ικα+ακ,++++ικα+ακ
ι+++,ι+++
μ+,μ+
[--],[]
ἑαυτὸν,ἑαυτοῦ
γυνὴ,γυνή
ἀχάριστον,ἀχάριστος
((:feles)),((:feles))
e++++,e++++
[---]ηκου,[]ηκου
[---]κιοις,[]κιοις
αμ+++++,αμ+++++
πειπ++,πειπ++
+++[--]+,+++[]+
[-]++++[---],[]++++[]
ταθίου,ταθίου
πρωτο,πρωτο
+[---],+[]
εὐχόμεθα,εὔχομαι
εὐτυχεῖν,εὐτυχέω
μετὰ,μετά
ἡμῶν,ἐγώ
σαβεῖνε,σαβεῖνε
εὐστα〚υτω〛θίου,εὐστα〚υτω〛θίου
σὲ,σύ
πολλ&#60;sup&#62;ο&#60;/sup&#62;ῖς,πολλ&#60;sup&#6;ο&#60;/sup&#6;ῖς
ἔτεσιν,ἔτος
φιλι+[---],φιλι+[]
((:gladiator,((:gladiator
cum,cum
scuto,scutum
et,et
ferro,ferrum
ad,ad
sin,sin
provocator)),provocator))
((:gladiator,((:gladiator
cum,cum
scuto,scutum
et,et
corona)),corona))
+[-]+ποται,+[]+ποται
ιδειν,ιδειν
δεσου++,δεσου++
+++++ν,+++++ν
[---]τον,[]τον
[---]ο++,[]ο++
τίτθη,τίτθη
τ+++,τ+++
[--]πλευς,[]πλευς
πινκίρνας,πινκίρνας
πρῶτος,πρῶτος
νεῖλος,νεῖλος
((:quadrum,((:quadrum
cum,cum
linea)),linea))
τος,τόσος
+αμονω,+αμονω
ἐσφάγη,σφάζω
tύχη,tύχη
τνα,τνα
[---]μως,[]μως
[---]+χην,[]+χην
ἐκρ,ἐκρ
απ,απ
δεδωκὼς,δεδωκὼς
πνεῦμα,πνεῦμα
οξεy+t,οξεy+t
ἀσία,ἄσιος
δο,δο
ζητη,ζητη
λυκο,λυκο
ἡρακλείδης,ἡρακλέης
++τ+καθουροκεν,++τ+καθουροκεν
τε,τε
((:imago,((:imago
incerta)),incerta))
κρόκης,κρόκη
ος,ος
[---]+νηρθη,[]+νηρθη
μους,ξενότιμος
αδελφ,αδελφ
τησμ,τησμ
τρος,τρος
+ονα,+ονα
αρα+,αρα+
ζ[-]τ,ζ[]τ
[--]+οανα,[]+οανα
π++σαμενος,π++σαμενος
[-]+,[]+
[-]+γετρ+φορ+,[]+γετρ+φορ+
[-]+ω+++τ++,[]+ω+++τ++
[---]+,[]+
[---]μ,[]μ
[---]οσα,[]οσα
[---]ονα,[]ονα
[---]++α,[]++α
φοῦσκος,φοῦσκος
δι-,δι
κάζων,κάζων
λαρια,λαρια
[---]μοσε,[]μοσε
+++θωι,+++θωι
++++ει,++++ει
++τεβη,++τεβη
+εκισον,+εκισον
ειποναν,ειποναν
++εισθω++,++εισθω++
παρθένα,παρθένα
σμυρναία,σμυρναῖος
((:figura,((:figura
gladiatoris)),gladiatoris))
((:piscis,((:piscis
natandus,natandus
ad,ad
dext)),dext))
[------]+ειντ[---],[]+ειντ[]
+ν++++εισεθωκα[---],+ν++++εισεθωκα[]
βωφ+[-]++θ,βωφ+[]++θ
εεκα[---],εεκα[]
+ε+η++οσωρε[---],+ε+η++οσωρε[]
χ+++θ+,χ+++θ+
κο[---],κο[]
τα+[---],τα+[]
τ++[---],τ++[]
λειοντισ[,λειοντισ[
],punc
[,punc
εὑ]ρὼν,εὑ]ρὼν
μοιχο[---],μοιχο[]
κατέκτανε,κατακτείνω
τιτ++[--]+ην++ω+,τιτ++[]+ην++ω+
+++τονμ++++ου,+++τονμ++++ου
++++++++++++++λε++η,++++++++++++++λε++η
+++++++++++αν,+++++++++++αν
euseb++,euseb++
pit+++,pit+++
er,er
καταχ,καταχ
αμαλ+,αμαλ+
ωδι,ωδι
νωζ,νωζ
ου+,ου+
μιμοῦ,μιμέομαι
ν++υω,ν++υω
((:gladiator,((:gladiator
murmillo,murmillo
cum,cum
scuto)),scuto))
δηνάριαδ,δηνάριαδ
γρ+++,γρ+++
αν+++,αν+++
γρα++,γρα++
α&#60;sup&#62;γ&#60;/sup&#62;+,α&#60;sup&#6;γ&#60;/sup&#6;+
παρατ++δηνάρια,παρατ++δηνάρια
γ,γε
((:gladiator,((:gladiator
cum,cum
palma,palmo
ad,ad
sin)),sin))
ἐξαπίνης,ἐξαπίνης
ευ++++++++η,ευ++++++++η
ὀφθαλμοῖς+++,ὀφθαλμοῖς+++
