term,lemmatized
infrenatus,infrenatus
ad,ad
sin,sin
currens)),currens))
((:caput,((:caput
viri,vir
(herculis?),(herculis?)
ad,ad
sin)),sin))
((:equus)),((:equus))
κωντρ,κωντρ
((:turris?)),((:turris?))
οβ,οβ
ἀσείας,ἀσείας
ουδεννος,ουδεννος
((:carina,((:carina
navis?)),navis?))
blastus,blastus
((:lineae,((:lineae
diversae,diverto
in,in
imagine,imago
scuti)),scuti))
((:vir,((:vir
pileatus,pileatus
et,et
figura,figuro
hominis)),hominis))
septembres,septembres
idus,idus
tunica,tunica
((denarius)),((denarius))
asses,asso
maior,magnus
duo,duo
sodales,sodal
fuerunt,sum
et,et
diu,diu
malum,malus
ministrum,minister
in,in
omnia,omnis
haberent,habeo
nomine,nomen
epaphroditum,epaphroditum
vix,vix
tarde,tardus
eum,is
foras,foras
exegerunt,exigo
consumpserunt,consumo
persuavissime,persuavissime
fu`tu´ere,fu`tu´ere
((sestertii)),((sestertii))
silenu[-,silenu[
-,punc
-],]
((:caput,((:caput
acutum,acutus
cum,cum
nasone,nasus
longo,longus
et,et
corona,corona
gryllus?)),gryllus?))
vitalio,vitalio
pedica,pedica
comatus,como
urosacula,urosacula
syrus,syrus
foliatus,foliatus
urso,ursus
vesbine,vesbine
caupo,caupo
careius,careius
((:galea,((:galea
gladiatoria,gladiatorius
cum,cum
crista,crista
ad,ad
dext)),dext))
αβγδεζηθικλμνξοπρστυφχψω,αβγδεζηθικλμνξοπρστυφχψω
((:sex,((:sex
circuli,circulus
quorum,qui
duo,duo
simplices,simplex
et,et
quattuor,quattuor
duplices,duplex
sunt)),sunt))
paris,paris
ivc+vontvs,ivc+vontvs
((:viri,((:viri
facies,facies
ad,ad
sin)),sin))
((:gallus,((:gallus
cum,cum
crista,crista
alisque)),alisque))
mula,mula
antoni,antonius
aeris,aer
((:caput,((:caput
hominis)),hominis))
((:avis?)),((:avis?))
((:avis)),((:avis))
((:gladiator,((:gladiator
provocator)),provocator))
accipe,accipio
mars,mars
vecors,vecors
lucumo,lucumo
ccc+,ccc+
euplia,euplia
((:certamen,((:certamen
gladiatorum,gladiator
provocatores)),provocatores))
kalendas,kalendae
pomλ,pomλ
evanthus,evanthus
providentes,provideo
marcus,marcus
felix,felix
fortunatus,fortuno
ego,ego
sua,suus
&#60;:in,&#60;:in
striis,stria
variis&#62;,variis&#6;
i̅i̅i̅i̅,i̅i̅i̅i̅
apsyrtus,apsyrtus
lacenae,lacenae
ubique,ubique
&#60;:stria,&#60;:stria
6&#62;,6&#6;
&#60;:stria,&#60;:stria
7&#62;,7&#6;
((centuria)),((centuria))
clementis,clemens
&#60;:stria,&#60;:stria
11&#62;,&#6;
&#60;:stria,&#60;:stria
12&#62;,&#6;
alica,alica
pan[em,pan[em
---],]
pvrtarivm+,pvrtarivm+
ἑρμῆϲ,ἑρμῆϲ
dos,dos
assis,adsum
&#60;:stria,&#60;:stria
4&#62;,4&#6;
&#60;:stria,&#60;:stria
5&#62;,5&#6;
((:caduceus)),((:caduceus))
votroni,votroni
&#60;:stria,&#60;:stria
8&#62;,8&#6;
asellam,asellam
cera,cero
urbanus,urbanus
lusit,ludo
decembres,decembres
((:circulus,((:circulus
cum,cum
circino,circino
tractatus)),tractatus))
((:duo,((:duo
capita,caput
hominum,homo
ad,ad
sin)),sin))
publi,publi
propesi,propesi
cuntus,cuntus
verpa,verpa
istuc,iste
leges,lex
es,sum
fidenter,fidenter
scriptor,scriptor
&#60;:pars,&#60;:pars
i&#62;,i&#6;
δ,δ
&#60;:pars,&#60;:pars
ii&#62;,ii&#6;
rotas,roto
opera,opus
tenet,teneo
arepo,arepo
sator,sator
&#60;:pars,&#60;:pars
iii&#62;,iii&#6;
((:venatio?,((:venatio?
aper,aper
et,et
bestiarius?)),bestiarius?))
tironis,tiro
((:zig-zag)),((:zigzag))
((:navis,((:navis
cum,cum
velis,velis
instructa)),instructa))
magistri,magister
((:rhombus,((:rhombus
et,et
semicirculus)),semicirculus))
ɔ,ɔ
semproni,semproni
((:quadrum,((:quadrum
alterum,alter
quadrum,quadrum
continens)),continens))
si,si
pudor,pudor
lucilius,lucilius
lucidae,lucidus
nicephor,nicephor
holconi,holconi
prima,primus
successus,successus
((:duo,((:duo
phalli)),phalli))
pvnico,pvnico
rura,rus
venis,venio
valentis,valeo
((:vas)),((:vas))
anthus,anthus
cossini,cossini
&#60;:servus&#62;,&#60;:servus&#6;
numeri,numerus
popidi,popidi
((:circulus,((:circulus
a,ab
manu,manus
tractus)),tractus))
((:triangulum,((:triangulis
et,et
linea)),linea))
cito,cito
trofime,trofime
bacchus,bacchus
((:duae,((:duae
lineae)),lineae))
((:quadrum,((:quadrum
cum,cum
lineis,linea
rete?)),rete?))
quintus,quintus
antu[s,antu[s
---],]
[---,[
mira]bile,mira]bilis
signum,signum
laurentis,laurentis
ruris,rus
dorcas,dorcas
sollemne,sollemnis
quicumque,quicumque
&#60;:ianua&#62;,&#60;:ianua&#6;
ζῇς,ζάω
ἔψυγμαι,ἔψυγμαι
verus,verus
semis,semis
sepiricus,sepiricus
βεινῶ,βεινῶ
δεζη,δεζη
euterpe,euterpe
terpsicore,terpsicore
thalia,thalia
gallus,gallus
νεικήτης,νεικήτης
ἐποίει,ποιέω
ετ[----]τας,ετ[]τας
ε[---]+λ+λ,ε[]+λ+λ
((:herma,((:herma
viri,vir
ad,ad
sin,sin
conversus)),conversus))
vettius,vettius
((:caput,((:caput
hominis,homo
ad,ad
dext)),dext))
ἀβήϲτιοϲ,ἀβήϲτιοϲ
((:gladiator,((:gladiator
