"EDR127811","127811","54391",,"116","130","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08636b","696"
"EDR127813","127813","54392",,"265","460","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08636c","696"
"EDR127838","127838","54393",,"387","342","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08641","696"
"EDR128294","128294","20897",,"464","353","96x96",,,"Amy NIZOLEK","2013-04-04",,"NorthWest","black",,"693"
"EDR128557","128557","21192",,"336","170","72x72",,"disegno manoscritto","Rebecca BENEFIEL","2013-04-18","apografe di CIL 04, 08185","SouthWest","black","CIL 04.8185","693"
"EDR127809","127809","54380",,"483","535","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08615","696"
"EDR127810","127810","54390",,"232","148","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08636a","696"
"EDR128064","128064","84673",,"3368","2380","72x72",,"foto moderna","Gracie SINGLETON","2021-12-27","Graffito di nome","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR128064","128064-1","84674",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-27","Graffito di nome","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR128064","128064-2","84675",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-27","Graffito di nome","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR128064","128064-3","84676",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-27","Graffito di nome","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR128277","128277","84630",,"3368","2380","72x72",,"foto moderna","Gracie SINGLETON","2021-12-25","Graffito","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR128277","128277-1","84631",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-25","Graffito","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR128277","128277-2","84632",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-25","Graffito","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR128277","128277-3","84633",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-25","Graffito","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR127417","127417-1","54363",,"275","360","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08580a","696"
