"EDR074811","LaC","I","Pompeii","Pompei (Napoli)",,,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
"EDR158675","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio V.5.3, Casa dei Gladiatori","Periit?","aedificium","tectorium","litt. scariph.","latina","cetera","cet.","0","0","1","79","0.00","0.00","0.00","1,2-1,5","tit. integer","archaeologia",,,"0"
"EDR152964","LaC","I","Herculaneum","Ercolano (Napoli)","Ercolano (Napoli), Insula VI.29, Casa dei Due Atri","Ercolano (Napoli), Insula VI.29, Casa dei Due Atri","aedificium","tectorium","litt. scariph.","latina","cetera",,"0","0","1","79","10.30","8.40","0.00","2,3-4,7","tit. integer","archaeologia",,,"0"
"EDR153355","LaC","I","Herculaneum","Ercolano (Napoli)","Ercolano (Napoli), Insula Orientalis I.2, Casa del Rilievo di Telefo","Periit","aedificium","tectorium","litt. scariph.","latina","cetera",,"0","0","1","79","0.00","0.00","0.00","0,3-1,7","tit. integer","archaeologia",,"senarius; iambicus","1"
"EDR152963","LaC","I","Herculaneum","Ercolano (Napoli)","Ercolano (Napoli), Insula VI.29, Casa dei Due Atri","Ercolano (Napoli), Insula VI.29, Casa dei Due Atri","aedificium","tectorium","litt. scariph.","latina","cetera",,"0","0","1","79","0.00","7.00","0.00","0,6-1,7","tit. integer","archaeologia",,,"0"
"EDR152931","LaC","I","Herculaneum","Ercolano (Napoli)","Ercolano (Napoli), Insula VI.29, Casa dei Due Atri","Periit","aedificium","tectorium","litt. scariph.","graeca","cetera","ignoratur","0","0","1","79","0.00","0.00","0.00","0,8-1,4","tit. integer?","archaeologia",,,"0"
"EDR152815","LaC","I","Herculaneum","Ercolano (Napoli)","Ercolano (Napoli), Insula VI.13, Casa del Salone Nero","Periit","aedificium","tectorium","litt. scariph.","latina","cetera",,"0","0","1","79","0.00","16.10","0.00","0,8-2,4","tit. integer?","archaeologia",,,"0"
"EDR152929","LaC","I","Herculaneum","Ercolano (Napoli)","Ercolano (Napoli), Insula VI.13, Casa del Salone Nero","Periit","aedificium","tectorium","litt. scariph.","latina","cetera","ignoratur","0","0","1","79","0.00","3.30","0.00","0,5-2,5","tit. integer","archaeologia",,,"0"
"EDR152999","LaC","I","Herculaneum","Ercolano (Napoli)","Ercolano (Napoli), Insula VI.29, Casa dei Due Atri","Periit","aedificium","tectorium","litt. scariph.","latina","cetera","ignoratur","0","0","1","79","0.00","5.30","0.00","0,7-1,2","tit. integer","archaeologia",,,"0"
"EDR151899","LaC","I","Herculaneum","Ercolano (Napoli) ","Ercolano (Napoli), Insula Orientalis I.2, Casa del Rilievo di Telefo ","Periit","aedificium","tectorium","litt. scariph.","latina","cetera",,"0","0","1","79","0.00","0.00","0.00","1,0-1,8","tit. mutilus","archaeologia",,,"0"
"EDR153000","LaC","I","Herculaneum","Ercolano (Napoli)","Ercolano (Napoli), Insula VI.29, Casa dei Due Atri","Ercolano (Napoli), Insula VI.29, Casa dei Due Atri","aedificium","tectorium","litt. scariph.","latina","cetera","ignoratur","0","0","1","79","0.00","7.60","0.00","1,2-1,7","tit. integer","archaeologia",,,"0"
"EDR153110","LaC","I","Herculaneum","Ercolano (Napoli)","Ercolano (Napoli), Insula Orientalis I.2, Casa del Rilievo di Telefo","Periit?","aedificium","tectorium","litt. scariph.","latina","cetera","ignoratur","0","0","1","79","0.00","15.00","0.00","1,1-4,3","tit. mutilus","archaeologia",,,"0"
"EDR076752","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio IX.13.3, Casa di Giulio Polibio","Pompei (Napoli), Regio IX.13.3, Casa di Giulio Polibio","aedificium","tectorium","litt. scariph.","latina","inscr. parietariae","ignoratur","0","0","1","79","0.00","0.00","0.00",,"tit. integer","archaeologia",,,"0"
"EDR076753","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio IX.13.3, Casa di Giulio Polibio","Pompei (Napoli), Regio IX.13.3, Casa di Giulio Polibio","aedificium","tectorium","litt. scariph.","latina","cetera","imp.","0","0","62","79","0.00","0.00","0.00",,"tit. integer","archaeologia",,,"0"
"EDR076754","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio IX.13.3, Casa di Giulio Polibio","Pompei (Napoli), Regio IX.13.3, Casa di Giulio Polibio","aedificium","tectorium","litt. scariph.","latina","cetera","imp.","0","0","62","69","0.00","0.00","0.00",,"tit. integer","archaeologia; nomina; prosopographia",,,"1"
"EDR076755","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio IX.13.3, Casa di Giulio Polibio, cortile della cucina","Pompei (Napoli), Deposito","aedificium","tectorium","litt. scariph.","latina","inscr. parietariae","cet.","0","0","50","79","0.00","0.00","0.00",,"tit. integer","archaeologia; prosopographia","Pagana",,"0"
"EDR076757","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio IX.13.3, Casa di Giulio Polibio","Pompei (Napoli), Regio IX.13.3, Casa di Giulio Polibio","aedificium","tectorium","litt. scariph.","latina","inscr. parietariae","offic. priv.","0","0","1","79","0.00","0.00","0.00",,"tit. integer","archaeologia",,,"0"
