EDR154421,asses,asses,axis,N3B,a3654,m,NcC,VII a(sses) III,,,,,
EDR154043,asses,asses,as/assis,N3B,a3009,m,NcC,Septembr(es) III idus pro tunica ((denarius)) I a(sses) VIII,,,,,
EDR154043,asses,asses,asso,V1,a3183,,VmF,Septembr(es) III idus pro tunica ((denarius)) I a(sses) VIII,,,,,
EDR154043,asses,asses,axis,N3B,a3654,m,NcC,Septembr(es) III idus pro tunica ((denarius)) I a(sses) VIII,,,,,
EDR159777,asses,asses,as/assis,N3B,a3009,m,NcC,Vinum a(sses) III Quatusui++I VIII Nig[---] ((denarius)) V s(emis) Capitoni Nigro ((denarius)) V Nig[---],,,,,
EDR159777,asses,asses,asso,V1,a3183,,VmF,Vinum a(sses) III Quatusui++I VIII Nig[---] ((denarius)) V s(emis) Capitoni Nigro ((denarius)) V Nig[---],,,,,
EDR159777,asses,asses,axis,N3B,a3654,m,NcC,Vinum a(sses) III Quatusui++I VIII Nig[---] ((denarius)) V s(emis) Capitoni Nigro ((denarius)) V Nig[---],,,,,
EDR140171,assibus,assibus,as/assis,N3B,a3009,m,NcC,Saturnina[e] matr(i) uncus a(ssibus) III ,,,,,
EDR140171,assibus,assibus,axis,N3B,a3654,m,NcC,Saturnina[e] matr(i) uncus a(ssibus) III ,,,,,
EDR154566,assibus,assibus,as/assis,N3B,a3009,m,NcC,Exemta (:exempta) stecora (:stercora) a(ssibus) XI,,,,,
EDR154566,assibus,assibus,axis,N3B,a3654,m,NcC,Exemta (:exempta) stecora (:stercora) a(ssibus) XI,,,,,
EDR154177,assibus,assibus,as/assis,N3B,a3009,m,NcC,Nuc (:nuces?) &#12296;:vacat&#12297; biber(es) XIIII (assibus) Singa (:singula) III  Panem III &#12296;:vacat&#12297; LI (assibus) Orrellas (:ofellas) III &#12296;:vacat&#12297; XII (assibus) Thymatla (:thymatula) IIII &#12296;:vacat&#12297; VIII (assibus),,,,,
EDR154177,assibus,assibus,axis,N3B,a3654,m,NcC,Nuc (:nuces?) &#12296;:vacat&#12297; biber(es) XIIII (assibus) Singa (:singula) III  Panem III &#12296;:vacat&#12297; LI (assibus) Orrellas (:ofellas) III &#12296;:vacat&#12297; XII (assibus) Thymatla (:thymatula) IIII &#12296;:vacat&#12297; VIII (assibus),,,,,
EDR154177,assibus,assibus,as/assis,N3B,a3009,m,NcC,Nuc (:nuces?) &#12296;:vacat&#12297; biber(es) XIIII (assibus) Singa (:singula) III  Panem III &#12296;:vacat&#12297; LI (assibus) Orrellas (:ofellas) III &#12296;:vacat&#12297; XII (assibus) Thymatla (:thymatula) IIII &#12296;:vacat&#12297; VIII (assibus),,,,,
EDR154177,assibus,assibus,axis,N3B,a3654,m,NcC,Nuc (:nuces?) &#12296;:vacat&#12297; biber(es) XIIII (assibus) Singa (:singula) III  Panem III &#12296;:vacat&#12297; LI (assibus) Orrellas (:ofellas) III &#12296;:vacat&#12297; XII (assibus) Thymatla (:thymatula) IIII &#12296;:vacat&#12297; VIII (assibus),,,,,
EDR154177,assibus,assibus,as/assis,N3B,a3009,m,NcC,Nuc (:nuces?) &#12296;:vacat&#12297; biber(es) XIIII (assibus) Singa (:singula) III  Panem III &#12296;:vacat&#12297; LI (assibus) Orrellas (:ofellas) III &#12296;:vacat&#12297; XII (assibus) Thymatla (:thymatula) IIII &#12296;:vacat&#12297; VIII (assibus),,,,,
EDR154177,assibus,assibus,axis,N3B,a3654,m,NcC,Nuc (:nuces?) &#12296;:vacat&#12297; biber(es) XIIII (assibus) Singa (:singula) III  Panem III &#12296;:vacat&#12297; LI (assibus) Orrellas (:ofellas) III &#12296;:vacat&#12297; XII (assibus) Thymatla (:thymatula) IIII &#12296;:vacat&#12297; VIII (assibus),,,,,
EDR140177,Assis,assis,as/assis,N3B,a3009,m,NcC,Assis IIIIHIINII CCCXXX,,,,,
EDR140177,Assis,assis,adsum,VA,a0761,,VmN,Assis IIIIHIINII CCCXXX,,,,,
EDR140177,Assis,assis,as/assis,N3B,a3009,m,NcC,Assis IIIIHIINII CCCXXX,,,,,
EDR140177,Assis,assis,assus,N2/1,a3108,*,Af-,Assis IIIIHIINII CCCXXX,,,,,
EDR140177,Assis,assis,assa,N1,a3108,f,NcA,Assis IIIIHIINII CCCXXX,,,,,
EDR140177,Assis,assis,assum,N2,a3108,n,NcB,Assis IIIIHIINII CCCXXX,,,,,
EDR140177,Assis,assis,axis,N3B,a3654,m,NcC,Assis IIIIHIINII CCCXXX,,,,,
EDR140978,Ater,ater,ater,N2/1,a6288,*,Af-,Vivaniu&#818;s&#803; At&#803;er u&#803;b&#803;i&#803;que,OVERRIDE,name,Ater,,
EDR140980,atque,atque,atque,I,a3301,,X--,Quam mita (?) vis (?) · Pastores ateque (:atque) · Caste monit erga pugiles (?).,,,,,
EDR140980,atque,atque,ad,I,a0479,,X--,Quam mita (?) vis (?) · Pastores ateque (:atque) · Caste monit erga pugiles (?).,,,,,
EDR140980,atque,atque,at,I,a0547,,X--,Quam mita (?) vis (?) · Pastores ateque (:atque) · Caste monit erga pugiles (?).,,,,,
EDR152964,Augustas,augustas,augusto,V1,a3491,,VmF,K(alendas) Aug&#803;(ustas) Nonas&#803; A&#818;p&#818;r&#818;(ilis) At&#818;i&#818;n&#818;a&#818;s&#818;,,,,,
EDR152964,Augustas,augustas,augustus,N2/1,a3492,*,Af-,K(alendas) Aug&#803;(ustas) Nonas&#803; A&#818;p&#818;r&#818;(ilis) At&#818;i&#818;n&#818;a&#818;s&#818;,,,,,
EDR151822,Augusti,augusti,augustus,N2/1,a3492,*,Af-,Vasileus habitat Putelis (:Puteolis) in castris August[i - - -] su(b) Valeri[o - - -],,,,,
EDR157025,Aulus,aulus,aulos/-us,N2,a3518,m,NcB,A(ulus) Memm(ius),OVERRIDE,name,Aulus,,
EDR140151,Aulus,aulus,aulos/-us,N2,a3518,m,NcB,A(ulus) Tati(us?) [- - -]p&#818;r&#818;ius,DECLINE,,,,
EDR156779,Ave,aue,aueo,V2,a3448,,VmG,[A]ve Fausta s(alutem),,,,,
EDR156779,Ave,aue,aueo,V2,a3465,,VmG,[A]ve Fausta s(alutem),,,,,
EDR156779,Ave,aue,auis,N3B,a3502,f,NcC,[A]ve Fausta s(alutem),,,,,
EDR156779,Ave,aue,auus/-os,N2,a3634,m,NcB,[A]ve Fausta s(alutem),,,,,
EDR156779,Ave,aue,a,I,a0001,,X--,[A]ve Fausta s(alutem),,,,,
